scenario,replicate,estimate_full,se_full,estimate_coarsened,se_coarsened,estimate_sequential,se_sequential,complete_proportion,l1_only_proportion,neither_proportion,min_pi1_oof,min_pi2_oof,min_pis_oof
CCMAR-compatible,1,0.5172286454746958,0.03689108670844618,0.6041456462346848,0.13735354293279806,0.5870013764043096,0.05963724523067474,0.27625,0.55425,0.1695,0.6447207171243882,0.17994811606934008,0.03344451117700715
CCMAR-compatible,2,0.4555191871675101,0.03800724883020104,0.4348233247521702,0.08392464356207407,0.43604062885880224,0.06110216436483216,0.277,0.5615,0.1615,0.6875587553352054,0.13416649629631028,0.029101642214813685
CCMAR-compatible,3,0.4868965405522507,0.035556380408231496,0.5642181486828778,0.07893051744120258,0.5735593213064903,0.058650035537153915,0.27875,0.54425,0.177,0.6055801610696739,0.22272482010800876,0.04697730033978122
CCMAR-compatible,4,0.5289956024522328,0.03798702167692048,0.5335999188166182,0.07341971085646097,0.5439901456301843,0.06160173455146783,0.27475,0.5515,0.17375,0.6466985931202542,0.21138990500656077,0.05253038764637655
CCMAR-compatible,5,0.5475571744618926,0.03636204446837477,0.5588218833119585,0.0813725669937626,0.5760733877826788,0.060852612425435645,0.25475,0.576,0.16925,0.7415048730665271,0.20384504191189648,0.03229443666553668
CCMAR-compatible,6,0.5365928923677854,0.03826283268386075,0.562744323888577,0.08542894887502607,0.5659459744589421,0.06663842754926746,0.27125,0.55375,0.175,0.7386008816971126,0.18874957921541713,0.04484116300382451
CCMAR-compatible,7,0.42420573693398456,0.03812589118187086,0.2747702168626541,0.08010449826226038,0.3363729191130501,0.06638941127411241,0.2705,0.55175,0.17775,0.7516447779965645,0.19793527072683256,0.032338237672930044
CCMAR-compatible,8,0.5421017236860896,0.036215156294584994,0.5580860661848399,0.07766875436362658,0.49749057327422797,0.059200088319170445,0.266,0.55125,0.18275,0.6014127861118379,0.21408517015000247,0.025
CCMAR-compatible,9,0.4676976872082296,0.036123112613471495,0.48762128655187736,0.09085567639043787,0.49250920667456344,0.06159017837164241,0.26075,0.5625,0.17675,0.6827313258261976,0.18497652517395277,0.04342275397289392
CCMAR-compatible,10,0.5262354600551374,0.03589676064987357,0.3975016189107639,0.09352820799951893,0.493328040507863,0.0580796298493885,0.28575,0.53925,0.175,0.6319802129117255,0.24362189965870576,0.03475634463485098
CCMAR-compatible,11,0.41233544691653584,0.0364052662565699,0.41930282511009964,0.08161897416765329,0.4391015032767568,0.054832897725251774,0.273,0.54525,0.18175,0.6148644700056775,0.19589346814396363,0.03742325646223633
CCMAR-compatible,12,0.5628308335247503,0.03682635294554662,0.5284462856829188,0.08056109105042203,0.5405081850343063,0.05893115883726978,0.267,0.5555,0.1775,0.6573942403669442,0.2088565000621078,0.048211300022220585
CCMAR-compatible,13,0.5260238380696945,0.03805979484108041,0.4757806127344552,0.08839689152520087,0.4366048616281961,0.05859917802129202,0.2705,0.55675,0.17275,0.6973278197336273,0.20483572509113135,0.025
CCMAR-compatible,14,0.5079942594595076,0.03900555408502908,0.36960846705474826,0.10225625824715573,0.4632149180929823,0.06777582635586239,0.252,0.57375,0.17425,0.6480792657099599,0.22109684217707,0.05327493270432022
CCMAR-compatible,15,0.4766621562130304,0.03812940693690359,0.5005591071806818,0.08876284198742453,0.4807336472317421,0.06513161945099334,0.26925,0.5595,0.17125,0.6976743935844687,0.21878511360158878,0.038118141756566366
CCMAR-compatible,16,0.4971749580773124,0.03741370580008289,0.5151239451375842,0.09970864191395305,0.4799965014543878,0.06377490505426493,0.277,0.5565,0.1665,0.6097662528362705,0.22143281097927553,0.0439747157906897
CCMAR-compatible,17,0.5088876143151614,0.03669297630169042,0.5898435140408026,0.08419749439807989,0.5023364160410303,0.057807245238666594,0.27925,0.551,0.16975,0.7245297983799746,0.2290637715564859,0.03522415114903936
CCMAR-compatible,18,0.49457596101298223,0.036967204570084115,0.47507321991709944,0.08642521578223408,0.5013283436925762,0.06511230017143627,0.2505,0.57125,0.17825,0.7237641973002452,0.18178436395322048,0.026039478845300897
CCMAR-compatible,19,0.4387296344709184,0.03678240392306036,0.3782713167045527,0.10306660294232754,0.43943260288317165,0.06369004374439324,0.2595,0.571,0.1695,0.6907513113427287,0.20840433024302885,0.04444951470880825
CCMAR-compatible,20,0.5547721394693537,0.03662211404138234,0.5619322515510972,0.08635916133036689,0.5502502427201047,0.062194033259283556,0.276,0.5525,0.1715,0.6826209300330295,0.22786207016122126,0.05303247127258221
CCMAR-compatible,21,0.5685531424347041,0.04061571969771383,0.6589266711111461,0.09356621373877697,0.6489222586997069,0.06905222496342937,0.26975,0.55875,0.1715,0.6327506635242153,0.19549304676135007,0.03637481729004226
CCMAR-compatible,22,0.4798612459755556,0.037757736866015926,0.5017716134140865,0.08383367861044817,0.4417091842596147,0.06384264127669965,0.2795,0.54675,0.17375,0.7304738542921785,0.21141458315126946,0.04775491182440859
CCMAR-compatible,23,0.5313635762738931,0.037401329267984486,0.5969346633334167,0.08717842006365399,0.5650703846684375,0.07000962661645627,0.26075,0.56475,0.1745,0.6986683310396541,0.1891996210688492,0.025
CCMAR-compatible,24,0.5279693299994432,0.037303976681880804,0.5758222261722592,0.07801921848636521,0.6005310422935267,0.06156253950569681,0.2735,0.55875,0.16775,0.6942313028929514,0.22009343924380653,0.025
CCMAR-compatible,25,0.5217484752616498,0.036610864290970886,0.5829267009285769,0.0878610595644792,0.5536970664165692,0.06703473344916595,0.2635,0.559,0.1775,0.7420632820066333,0.24352758527401833,0.04641623719034691
CCMAR-compatible,26,0.44216844521378584,0.03583446779934391,0.44658911526657186,0.06833210992389491,0.474177080960425,0.05066628846087662,0.27625,0.5505,0.17325,0.7284886847362391,0.20262366417244082,0.03153895343158501
CCMAR-compatible,27,0.4786425239972489,0.03655822523409999,0.4958939213763324,0.06876114003798152,0.4997472317870781,0.05747679372851683,0.2815,0.54775,0.17075,0.7601979403481289,0.2152489951051298,0.05504127874421538
CCMAR-compatible,28,0.4615189853822125,0.03461954501597939,0.36181935954945127,0.07997654417642712,0.43758121980989334,0.05414323907316625,0.2595,0.571,0.1695,0.607678372391299,0.2068744480224235,0.03211344409352151
CCMAR-compatible,29,0.5124554839684108,0.036412877180506675,0.4779073980114493,0.08042853050211776,0.5164056286885484,0.06711300824934789,0.26175,0.5635,0.17475,0.6695125319732894,0.16870287127897757,0.02558853775194307
CCMAR-compatible,30,0.496390041873106,0.035297573433979414,0.5757419344276734,0.07790287412163796,0.5882957008887372,0.05929595142244267,0.26375,0.56275,0.1735,0.6445258456427665,0.17760276875759184,0.035978428489876146
CCMAR-compatible,31,0.4755404974685364,0.03517055418881211,0.3831117841766935,0.08189406831308148,0.46086596883541164,0.060357185581844025,0.27675,0.555,0.16825,0.7125351501868152,0.21823134006826903,0.035746361513204684
CCMAR-compatible,32,0.5173514211971265,0.037135992808052964,0.6169474097262388,0.09460292920765229,0.558532655656396,0.060071431228917574,0.273,0.54825,0.17875,0.699428914654298,0.24078531714824913,0.028386997983065754
CCMAR-compatible,33,0.5159117762272356,0.03603223003001863,0.48357329237589713,0.06525467445443284,0.5171068974878431,0.05207870648395632,0.278,0.55975,0.16225,0.6913365999027777,0.23567111065194118,0.03978951147933013
CCMAR-compatible,34,0.4907817227055135,0.038650229166136064,0.5139923182522735,0.07856736182027957,0.5617377796073655,0.06044418341709672,0.2755,0.5515,0.173,0.6352895541971803,0.2296952550125136,0.025
CCMAR-compatible,35,0.5127182757465276,0.03734695690742635,0.4264990200995103,0.08819442486862343,0.4680509867986057,0.060461108653669576,0.2705,0.5555,0.174,0.7507431719367722,0.17533598379717125,0.029721182474061796
CCMAR-compatible,36,0.49095775145348686,0.0373612763378533,0.6123357301076388,0.08969900611660789,0.5418070879861812,0.0687813117621817,0.2675,0.558,0.1745,0.6591679089518732,0.20295461902180364,0.05245821354978108
CCMAR-compatible,37,0.5434864579398385,0.039945395746009874,0.71917532202549,0.10638774610379956,0.5871134088402593,0.06791526847873361,0.261,0.56425,0.17475,0.7250490669921984,0.22272077880268837,0.025
CCMAR-compatible,38,0.5511074000109595,0.03534688415125228,0.4024977412197451,0.07752314214453777,0.47637374839282315,0.05911828567084428,0.27275,0.55825,0.169,0.6440120121115402,0.18332990144529898,0.03538526007125144
CCMAR-compatible,39,0.504085689824532,0.0355111769996616,0.36769894120397534,0.10682659546870073,0.5770144174646459,0.05658520965150583,0.28475,0.55025,0.165,0.6665266033940173,0.2407161867503873,0.04156562336419874
CCMAR-compatible,40,0.5300371886901901,0.03801887419580362,0.544011421649481,0.08448551037020245,0.4595281989110549,0.06753927642520056,0.27625,0.55125,0.1725,0.6075191980361528,0.2396620589473804,0.03900882601631086
CCMAR-compatible,41,0.42263695786250244,0.03611644923330449,0.36032386281778456,0.07936664784884855,0.3328643259832588,0.05771866356125094,0.2705,0.55175,0.17775,0.647141572087652,0.21559871448435577,0.05812879978341835
CCMAR-compatible,42,0.5632810135785241,0.036816155761621866,0.5247219143132741,0.07829525736784343,0.5856832668367099,0.06297474481286483,0.26625,0.5565,0.17725,0.616957101146012,0.18854475271478338,0.05483856282703564
CCMAR-compatible,43,0.4311003784620419,0.036008893843550625,0.4818191822120217,0.08531943934406133,0.4601235012541312,0.05945481320769908,0.26575,0.5595,0.17475,0.6761863111641065,0.23732129230529891,0.060675360466919785
CCMAR-compatible,44,0.5017143893283922,0.03915536094311422,0.5571869116657584,0.08322693701292758,0.5241922590166115,0.05943647057243277,0.27325,0.551,0.17575,0.5854720559241511,0.19189298766357454,0.04800499928187761
CCMAR-compatible,45,0.43032008498328056,0.03702911562825199,0.4185874405442063,0.09976281102307896,0.5320528059277272,0.058627973890849845,0.279,0.54675,0.17425,0.7051344395591264,0.2128705541770281,0.0526159678634663
CCMAR-compatible,46,0.4410226040835107,0.03885657451045202,0.5145697225314714,0.09405191316626434,0.4788745611667903,0.06900549317475689,0.26625,0.56275,0.171,0.6922785011103515,0.1886798912764696,0.025
CCMAR-compatible,47,0.4872078867611157,0.037736398642296866,0.4949036877923319,0.08540474290589713,0.41467643685931077,0.05919688605015338,0.26625,0.56225,0.1715,0.6961205270829953,0.20776324529547832,0.03551891893144016
CCMAR-compatible,48,0.46664520103869667,0.03629578136596985,0.4459226585731787,0.09479195315173905,0.4044546216186647,0.061549106153702245,0.2665,0.5565,0.177,0.6300813020157299,0.23927000156714423,0.025
CCMAR-compatible,49,0.5303489268354282,0.035109488681874954,0.5038728326237241,0.07716813258509587,0.51272808850331,0.06101068483192616,0.27275,0.562,0.16525,0.7425408371947989,0.203952041918231,0.034725430379700634
CCMAR-compatible,50,0.4844796747621813,0.03689371790681456,0.6255647998389204,0.07638108037384789,0.5645771912400842,0.06018809703789698,0.2725,0.56125,0.16625,0.6211720666299945,0.23354428329544502,0.04479833638435537
CCMAR-compatible,51,0.5157330081824965,0.036174636817325634,0.4482372152325715,0.07235903569520748,0.4879709836429267,0.05654700703290016,0.2795,0.53725,0.18325,0.7113203804440894,0.22768446371051584,0.03344553831984473
CCMAR-compatible,52,0.45946980195087134,0.03596251747155769,0.3791143171733611,0.08881979353752302,0.3900988640582883,0.05429943133265327,0.275,0.553,0.172,0.7395459299480631,0.18596813641696225,0.03396736717261174
CCMAR-compatible,53,0.47300774527301326,0.03665937411681211,0.579799945093481,0.0962072907892994,0.5151614459902384,0.05691494205707651,0.25375,0.56125,0.185,0.6340378654663013,0.1767155853948051,0.028210295114560965
CCMAR-compatible,54,0.5214729915130915,0.03769924226228041,0.5096033020659982,0.08544499662266636,0.5192768534637658,0.06164557190176614,0.2715,0.552,0.1765,0.7222777594769778,0.2148883847614372,0.025504136225813344
CCMAR-compatible,55,0.5518556059386496,0.03804516713111339,0.4836501548474923,0.08787056608926871,0.500171146636181,0.06698810894451356,0.276,0.55,0.174,0.7281947495140809,0.24137868857822367,0.04466861393067965
CCMAR-compatible,56,0.5466098381471968,0.035901846310028934,0.664383565475577,0.06671876129416303,0.6307762554032652,0.05219381230435597,0.27225,0.5605,0.16725,0.7244508865526471,0.2061859916877821,0.04478175756418261
CCMAR-compatible,57,0.5238819715975039,0.03719902559959614,0.5533948688443953,0.09093229719634417,0.5165349072938806,0.0686031645811933,0.27575,0.558,0.16625,0.658226021906373,0.22337707003499752,0.025
CCMAR-compatible,58,0.5101243393898705,0.03673840864039932,0.4586982218935135,0.0776788616696561,0.4723164262163449,0.0587859689203626,0.2685,0.56375,0.16775,0.6701633177548741,0.2588784592349999,0.038407538349863025
CCMAR-compatible,59,0.4840509551930631,0.03671619284842438,0.45474909094352367,0.07298285368231626,0.4694331325171047,0.05895141361865082,0.27375,0.55175,0.1745,0.736639668652094,0.22070168913498536,0.03487119785171736
CCMAR-compatible,60,0.5217302454025528,0.03708543919356414,0.5158345115039721,0.10143854894111527,0.4967381699680832,0.06124023660764518,0.27225,0.56775,0.16,0.7095380957573584,0.22493723736625634,0.025
CCMAR-compatible,61,0.5524561317839873,0.03545844120995309,0.5463723182520719,0.07344086557029109,0.5452694110068957,0.061891214751977106,0.27125,0.56275,0.166,0.7206626498428621,0.2241101108859497,0.025010392856115823
CCMAR-compatible,62,0.5527593575285309,0.034783909562814075,0.6108696572195846,0.08044889754695696,0.6254664617929028,0.05436046518714656,0.26625,0.55825,0.1755,0.678573991893125,0.1803170463779342,0.025
CCMAR-compatible,63,0.4984705056598075,0.038082592092661044,0.48883877618618965,0.08326737384184552,0.4952296025358783,0.07039935403048002,0.26975,0.56525,0.165,0.7200049874960062,0.21333382352568042,0.0496465265784798
CCMAR-compatible,64,0.48192792500399995,0.0401206067457952,0.3339562366559422,0.13627421411194662,0.4101825583227402,0.07390361900515686,0.2575,0.569,0.1735,0.6667141519364085,0.18095910791972714,0.04491415355896432
CCMAR-compatible,65,0.5002761137932318,0.035512439401021785,0.5105331131608887,0.07637414238100192,0.512310425143707,0.05386057247825611,0.269,0.564,0.167,0.7176279686915027,0.18884618493435257,0.02647708283874826
CCMAR-compatible,66,0.5243593545309655,0.03784911816030976,0.3750972583070304,0.09251143742556292,0.4730267156403068,0.06354072709533058,0.2615,0.5625,0.176,0.6741209744007873,0.22657390768605998,0.03837205669246722
CCMAR-compatible,67,0.5340935929653552,0.03552279223430216,0.5158860298010782,0.08123999957243935,0.4950873284567512,0.06207484646099414,0.261,0.565,0.174,0.693551738109932,0.2342688603175166,0.03898883433522876
CCMAR-compatible,68,0.5001073200050343,0.034897632981675565,0.6088914548919342,0.06731658685397014,0.5599436100029246,0.04784013807851817,0.2805,0.54875,0.17075,0.6992925535442955,0.24932999440993264,0.049665342781723305
CCMAR-compatible,69,0.584741620702406,0.03612340463486514,0.8062375188031867,0.08133153213193912,0.7466127449632772,0.050195407602075734,0.272,0.548,0.18,0.712741865688784,0.25749966946248076,0.026009172966110116
CCMAR-compatible,70,0.46389899181853667,0.036669905519366226,0.37683366921859557,0.08248361935154387,0.3883477834498414,0.06147357363417749,0.27,0.564,0.166,0.6714953779221937,0.25011630329494405,0.041389187423125154
CCMAR-compatible,71,0.5531998393351965,0.03512585397586116,0.7136266886653554,0.07043034276565129,0.6479057756493776,0.050742055252407436,0.27025,0.558,0.17175,0.6969142623637956,0.23530988362439584,0.029086032388846886
CCMAR-compatible,72,0.4757748031232427,0.036632947302287056,0.4102867745887106,0.07868300314294382,0.45069185503314124,0.0604893236294251,0.2605,0.56375,0.17575,0.6521148674140801,0.21605206198531823,0.031104886046131132
CCMAR-compatible,73,0.5038348032074177,0.0396325056642508,0.5910832813642148,0.0867399614554471,0.5859724377666712,0.0653435889170623,0.271,0.5635,0.1655,0.6613955092227807,0.20563329129566815,0.04468262783720874
CCMAR-compatible,74,0.50032380534393,0.03777265505650987,0.4857072955690827,0.10016389213940144,0.5015021850900347,0.06642833367794526,0.2575,0.56325,0.17925,0.6667948612436367,0.22481482923298257,0.03037406732639763
CCMAR-compatible,75,0.5205059155209815,0.036829519013062306,0.5143819005355121,0.07590964495269317,0.5197868037492694,0.06575421670816461,0.27675,0.5515,0.17175,0.6935566577697161,0.22150455784096199,0.047012755906866904
CCMAR-compatible,76,0.49823383658234527,0.03704181893367673,0.45087067882490917,0.09101836415832765,0.4303231725285085,0.07359651309182849,0.2715,0.55725,0.17125,0.6760411275867524,0.19416295208797074,0.05541459680230669
CCMAR-compatible,77,0.5006784498399982,0.03574105534602046,0.4958800130387643,0.0963678128024358,0.4794601960470424,0.05616377793939618,0.26975,0.558,0.17225,0.7306075733498623,0.1991052170508561,0.029093871150014678
CCMAR-compatible,78,0.49389349568687224,0.03497699177127713,0.5485437152074012,0.06662475403527185,0.5483244267998149,0.05134174537739246,0.27775,0.5475,0.17475,0.6975713351028964,0.24908250428489967,0.047996355553122004
CCMAR-compatible,79,0.49293145323724796,0.03634342305180352,0.5293052388631768,0.07597743253074078,0.5182858987845621,0.058308730146786406,0.2835,0.54225,0.17425,0.675771020234442,0.22941795014377084,0.025
CCMAR-compatible,80,0.5390303568700744,0.03657350516860992,0.5404156237655884,0.09940315536747037,0.5299874849595921,0.08009436459024032,0.27,0.552,0.178,0.6999220208628657,0.22596355981732894,0.054752897269175226
CCMAR-compatible,81,0.43572758040445536,0.03703586467034769,0.45973398043309105,0.08313556601913946,0.4317242028770325,0.057090585423662674,0.269,0.55875,0.17225,0.7167648615482757,0.2665877305453704,0.04478561577352236
CCMAR-compatible,82,0.5343295484568599,0.035873337570847805,0.5232783526568323,0.0684627760911465,0.524394418528975,0.058812253210925446,0.2785,0.555,0.1665,0.6899660372752783,0.25057775541530863,0.05118796069876252
CCMAR-compatible,83,0.4885139531539505,0.03516121521163161,0.408911678199205,0.0769627467479913,0.44357810964443634,0.05313548742638444,0.2695,0.554,0.1765,0.6222138777049441,0.20482136682501334,0.057381393351080355
CCMAR-compatible,84,0.5070315712688575,0.03887352746786928,0.561808698781003,0.07461995683046577,0.5384481591564064,0.056649368448574405,0.2715,0.56325,0.16525,0.7340599807045648,0.20911469318020273,0.04929589548317797
CCMAR-compatible,85,0.49328670468322705,0.03500116811431157,0.5941841785872978,0.07535405723532597,0.6170763001132427,0.05528838715174935,0.26825,0.556,0.17575,0.6593815795474975,0.19695930199242048,0.03715677167973188
CCMAR-compatible,86,0.44312217603037507,0.036729187918827476,0.4709886542745609,0.06852052939727031,0.5033514892274711,0.05142010678706197,0.28075,0.552,0.16725,0.6365111871490418,0.227544740220048,0.04117621329175257
CCMAR-compatible,87,0.5237823417817049,0.03652460679100703,0.4553810342265826,0.10527069369365902,0.5279117411695113,0.06978119994803866,0.2715,0.5615,0.167,0.7188739988709539,0.24843288319293252,0.025
CCMAR-compatible,88,0.5607413677166191,0.036798056285367836,0.5779141848466602,0.07953369993219078,0.5929393183031614,0.06075227504325162,0.28425,0.553,0.16275,0.74756027705191,0.21621430438240577,0.06149633852549987
CCMAR-compatible,89,0.5315791443439917,0.03839631727938805,0.39809811972860304,0.07922161856117917,0.4514856615407016,0.0648590434869536,0.2725,0.5505,0.177,0.6407129743386614,0.23849211707527496,0.03850288149404406
