scenario,comparison_type,method,replicates,mean_estimate,bias,mcse_bias,empirical_sd,mcse_empirical_sd,rmse,coverage_95,mcse_coverage_95,complete_proportion,l1_only_proportion,neither_proportion,variance_ratio_coarsened_over_sequential,sequential_variance_reduction
CCMAR-low-L2-missingness,efficiency,Full data,5000,0.2558329204688832,-1.5699813905700744e-05,0.0001470380038520371,0.010397156961590912,0.00010398196833270424,0.010396129048522737,0.9556,0.0029130272913242676,0.5117330400000001,0.37902224,0.10924472,,
CCMAR-low-L2-missingness,efficiency,Coarsened CCMAR,5000,0.2557531570946895,-9.546318809938725e-05,0.00018564832381547493,0.013127318868583836,0.00013128631797413302,0.013126353210150326,0.9532,0.002986963675708158,0.5117330400000001,0.37902224,0.10924472,,
CCMAR-low-L2-missingness,efficiency,Sequential patterns,5000,0.25575231049542363,-9.63097873652452e-05,0.000183732856995471,0.012991874910827574,0.00012993174293229266,0.012990932665170487,0.9494,0.0030996657884359074,0.5117330400000001,0.37902224,0.10924472,1.0209592502095757,0.020528978218546268
CCMAR-moderate-L2-missingness,efficiency,Full data,5000,0.2557510997391619,-9.752054362699436e-05,0.00014576899678741395,0.010307424611514047,0.0001030845550861234,0.010306855183713914,0.959,0.0028042467794400705,0.23996527999999998,0.6505991200000001,0.10943559999999998,,
CCMAR-moderate-L2-missingness,efficiency,Coarsened CCMAR,5000,0.25580203888586284,-4.658139692603758e-05,0.00024482208049464026,0.01731153533019589,0.00017313266743445227,0.017309866766213496,0.9544,0.002950275919299752,0.23996527999999998,0.6505991200000001,0.10943559999999998,,
CCMAR-moderate-L2-missingness,efficiency,Sequential patterns,5000,0.25575668868046253,-9.193160232634501e-05,0.00023998178698793785,0.016969274894043644,0.00016970972076114604,0.016967826926010305,0.9556,0.0029130272913242676,0.23996527999999998,0.6505991200000001,0.10943559999999998,1.0407456459502775,0.039150436140497846
CCMAR-high-L2-missingness,efficiency,Full data,5000,0.255956070439877,0.00010745015708812922,0.00014890701771601495,0.010529316199325954,0.00010530369288911958,0.010528811512308554,0.9544,0.002950275919299752,0.11606248000000001,0.77458464,0.10935288,,
CCMAR-high-L2-missingness,efficiency,Coarsened CCMAR,5000,0.2561771500489489,0.00032852976616004614,0.0003544918113176852,0.025066356365783735,0.00025068863377478336,0.025066002649394035,0.955,0.0029317230428538106,0.11606248000000001,0.77458464,0.10935288,,
CCMAR-high-L2-missingness,efficiency,Sequential patterns,5000,0.2561301870349172,0.00028156675212831495,0.00034455481351591117,0.02436370451275671,0.00024366141248724474,0.024362895135868166,0.9514,0.003040987997345599,0.11606248000000001,0.77458464,0.10935288,1.0585119664442786,0.05527756728233335
Sequential-departure-gamma-0.75,identification,Full data,5000,0.25589973994167065,5.1119658881770835e-05,0.0001517404881525208,0.010729672815320444,0.00010730745943573897,0.010728721581232592,0.95,0.0030822070014844896,0.23992583999999997,0.65079064,0.10928352,,
Sequential-departure-gamma-0.75,identification,Coarsened CCMAR,5000,0.24170261721281394,-0.014146003069974933,0.00026693613379539377,0.01887523503504425,0.00018877122841723476,0.023586280876483602,0.833,0.005274675345459662,0.23992583999999997,0.65079064,0.10928352,,
Sequential-departure-gamma-0.75,identification,Sequential patterns,5000,0.25570797214808627,-0.0001406481347026034,0.0002375265764877935,0.016795665294654396,0.0001679734511316084,0.01679457459161486,0.9512,0.0030469184432800286,0.23992583999999997,0.65079064,0.10928352,,
Sequential-departure-gamma-1.50,identification,Full data,5000,0.25586219356501844,1.3573282229562e-05,0.00014697032691648657,0.010392371479585143,0.0001039341087264466,0.010391341055258038,0.9604,0.0027579644667761753,0.23997312,0.65066008,0.10936680000000001,,
Sequential-departure-gamma-1.50,identification,Coarsened CCMAR,5000,0.22927561493561965,-0.02657300534716922,0.000284323010808487,0.02010467289900572,0.00020106683667915986,0.03332028880400382,0.618,0.006871331748649602,0.23997312,0.65066008,0.10936680000000001,,
Sequential-departure-gamma-1.50,identification,Sequential patterns,5000,0.2559622107079802,0.00011359042519132334,0.00024280152791628668,0.017168660687206114,0.00017170377810847676,0.017167319534369757,0.9512,0.0030469184432800286,0.23997312,0.65066008,0.10936680000000001,,
Sequential-departure-gamma-2.25,identification,Full data,5000,0.2561319419497078,0.00028332166691891203,0.0001494953036603449,0.010570914297377198,0.00010571971547397082,0.010573653644962221,0.9512,0.0030469184432800286,0.24005887999999995,0.65041816,0.10952295999999999,,
Sequential-departure-gamma-2.25,identification,Coarsened CCMAR,5000,0.219579493376157,-0.036269126906631866,0.00030671309670169577,0.021687891055649437,0.00021690060170127598,0.04225778167494598,0.4574,0.007045356484948083,0.24005887999999995,0.65041816,0.10952295999999999,,
Sequential-departure-gamma-2.25,identification,Sequential patterns,5000,0.25595856799399946,0.00010994771121058955,0.0002677681606218815,0.018934068216158107,0.0001893596190703809,0.01893249397003697,0.9528,0.002999071856424918,0.24005887999999995,0.65041816,0.10952295999999999,,
