replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,bounded,ccmar,0.15,full,0.15693309147895587,0.006629138814123442,0.14394021815475735,0.1699259648031544,1
1,2500,5,bounded,ccmar,0.15,cc,0.15976906031450716,0.009360742063300868,0.1414223430018683,0.17811577762714603,1
1,2500,5,bounded,ccmar,0.15,seq,0.15479929411032436,0.008959643570825054,0.1372387153971914,0.17235987282345733,1
2,2500,5,bounded,ccmar,0.15,full,0.14727562059036658,0.006937138183228977,0.13367907959546016,0.160872161585273,1
2,2500,5,bounded,ccmar,0.15,cc,0.14125161535279523,0.0090130482993362,0.1235863652951763,0.15891686541041417,1
2,2500,5,bounded,ccmar,0.15,seq,0.14146147688954347,0.008429088357987368,0.12494076728538236,0.15798218649370457,1
3,2500,5,bounded,ccmar,0.15,full,0.16128756162850377,0.00660677691018247,0.1483385168306553,0.17423660642635225,1
3,2500,5,bounded,ccmar,0.15,cc,0.16887675654419573,0.00838638579609507,0.15243974242339112,0.18531377066500035,0
3,2500,5,bounded,ccmar,0.15,seq,0.16732219389710662,0.007987076937949329,0.15166781075697547,0.18297657703723777,0
4,2500,5,bounded,ccmar,0.15,full,0.147729262563697,0.006557292508258416,0.1348772054114162,0.1605813197159778,1
4,2500,5,bounded,ccmar,0.15,cc,0.135203464231333,0.008996902178985302,0.11756985998809188,0.15283706847457412,1
4,2500,5,bounded,ccmar,0.15,seq,0.14260992292145075,0.00823007967004415,0.12647926317826894,0.15874058266463256,1
5,2500,5,bounded,ccmar,0.15,full,0.16114007235546762,0.006494062120776932,0.14841194448537903,0.1738682002255562,1
5,2500,5,bounded,ccmar,0.15,cc,0.15313118834429007,0.008624244637964795,0.13622797946001639,0.17003439722856376,1
5,2500,5,bounded,ccmar,0.15,seq,0.15687778206424083,0.007957418644368422,0.14128152811137118,0.17247403601711048,1
6,2500,5,bounded,ccmar,0.15,full,0.15706297475606903,0.006616321430099793,0.1440952230429329,0.17003072646920517,1
6,2500,5,bounded,ccmar,0.15,cc,0.15183256998368316,0.00961977120223366,0.1329781648877896,0.17068697507957672,1
6,2500,5,bounded,ccmar,0.15,seq,0.15084349790886048,0.009014792749844857,0.13317482879107176,0.1685121670266492,1
7,2500,5,bounded,ccmar,0.15,full,0.15841954335765893,0.006488583449653879,0.14570215348565466,0.1711369332296632,1
7,2500,5,bounded,ccmar,0.15,cc,0.16286839699614106,0.008923662568258876,0.14537833975216546,0.18035845424011665,1
7,2500,5,bounded,ccmar,0.15,seq,0.16225492433141603,0.008208781901653167,0.1461660074472316,0.17834384121560046,1
8,2500,5,bounded,ccmar,0.15,full,0.15240440368409255,0.006577512232278712,0.13951271660095463,0.16529609076723048,1
8,2500,5,bounded,ccmar,0.15,cc,0.14394630964735491,0.01110905955256812,0.12217295302221075,0.16571966627249907,1
8,2500,5,bounded,ccmar,0.15,seq,0.14980974359080193,0.010441250233247658,0.12934526918006609,0.17027421800153777,1
9,2500,5,bounded,ccmar,0.15,full,0.152044649126486,0.006740464045808751,0.1388335823576137,0.16525571589535828,1
9,2500,5,bounded,ccmar,0.15,cc,0.14169876698583256,0.010926770235276021,0.1202826908573473,0.16311484311431781,1
9,2500,5,bounded,ccmar,0.15,seq,0.14409082479577415,0.010280569522302864,0.12394127879150038,0.1642403708000479,1
10,2500,5,bounded,ccmar,0.15,full,0.142617908678689,0.00669907049198999,0.12948797178449362,0.1557478455728844,1
10,2500,5,bounded,ccmar,0.15,cc,0.13287069084224168,0.009631743778731536,0.11399281992761014,0.1517485617568732,1
10,2500,5,bounded,ccmar,0.15,seq,0.12921112797517076,0.009029484801642965,0.11151366296499876,0.14690859298534276,0
11,2500,5,bounded,ccmar,0.15,full,0.15297083349555465,0.006620142468241593,0.13999559268527703,0.16594607430583228,1
11,2500,5,bounded,ccmar,0.15,cc,0.1539940850000053,0.008762399381070487,0.13682009779495108,0.17116807220505953,1
11,2500,5,bounded,ccmar,0.15,seq,0.154712193076371,0.00815475325956596,0.13872917038481108,0.1706952157679309,1
12,2500,5,bounded,ccmar,0.15,full,0.1389750836278587,0.006755420006200571,0.12573470371526424,0.15221546354045318,1
12,2500,5,bounded,ccmar,0.15,cc,0.14752385378300492,0.009862305514768372,0.12819409016952815,0.1668536173964817,1
12,2500,5,bounded,ccmar,0.15,seq,0.13680679400076576,0.00967100175687719,0.11785197886286287,0.15576160913866863,1
13,2500,5,bounded,ccmar,0.15,full,0.15866841169054996,0.006570179689059713,0.14579109612803634,0.17154572725306358,1
13,2500,5,bounded,ccmar,0.15,cc,0.16336490484333344,0.009526607619071514,0.1446930970151084,0.18203671267155846,1
