replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,bounded,seqmar,0.15,full,0.14479903734153377,0.006667230392386059,0.13173150589582625,0.15786656878724128,1
1,2500,5,bounded,seqmar,0.15,cc,0.1461675816531299,0.008050920117346724,0.13038806818072135,0.16194709512553845,1
1,2500,5,bounded,seqmar,0.15,seq,0.15335837930072826,0.009511368765481493,0.13471643907670533,0.1720003195247512,1
2,2500,5,bounded,seqmar,0.15,full,0.15593935221371286,0.006825037809978346,0.14256252391303117,0.16931618051439454,1
2,2500,5,bounded,seqmar,0.15,cc,0.16044271720660053,0.009006828495027293,0.14278965774141794,0.1780957766717831,1
2,2500,5,bounded,seqmar,0.15,seq,0.15310380309895785,0.009556335918159572,0.13437372887519858,0.17183387732271713,1
3,2500,5,bounded,seqmar,0.15,full,0.1509688303814639,0.006613152637158598,0.13800728938836695,0.16393037137456082,1
3,2500,5,bounded,seqmar,0.15,cc,0.1486710225388024,0.010485246519469922,0.1281203169916174,0.1692217280859874,1
3,2500,5,bounded,seqmar,0.15,seq,0.11599682969513238,0.016931681237450428,0.08281134427201697,0.14918231511824778,0
4,2500,5,bounded,seqmar,0.15,full,0.1440912781679564,0.006546903353735268,0.13125958338437077,0.156922972951542,1
4,2500,5,bounded,seqmar,0.15,cc,0.15019399581155793,0.008147125233119694,0.13422592377710585,0.16616206784601,1
4,2500,5,bounded,seqmar,0.15,seq,0.15012961409296968,0.009096386702656212,0.13230102376631445,0.16795820441962492,1
5,2500,5,bounded,seqmar,0.15,full,0.15146202444681137,0.006654187819487988,0.1384200559742498,0.16450399291937293,1
5,2500,5,bounded,seqmar,0.15,cc,0.14825933350795228,0.00856418708245936,0.13147383526946876,0.1650448317464358,1
5,2500,5,bounded,seqmar,0.15,seq,0.1525334849142234,0.010975942222124939,0.13102103346246596,0.1740459363659808,1
6,2500,5,bounded,seqmar,0.15,full,0.1525663662036723,0.006624951726367546,0.13958169942067547,0.16555103298666915,1
6,2500,5,bounded,seqmar,0.15,cc,0.15833849375743347,0.007976041734555515,0.1427057392185163,0.17397124829635066,1
6,2500,5,bounded,seqmar,0.15,seq,0.15397081572952512,0.00970705700830015,0.1349453335973797,0.17299629786167053,1
7,2500,5,bounded,seqmar,0.15,full,0.1522042005692625,0.006598084836613345,0.13927219192256052,0.1651362092159645,1
7,2500,5,bounded,seqmar,0.15,cc,0.1614029909466657,0.008902095817218611,0.14395520375799253,0.17885077813533884,1
7,2500,5,bounded,seqmar,0.15,seq,0.1435183841070308,0.01189161150136442,0.12021125384621426,0.16682551436784734,1
8,2500,5,bounded,seqmar,0.15,full,0.14515718684899634,0.006460081233112519,0.1324956602948927,0.15781871340309997,1
8,2500,5,bounded,seqmar,0.15,cc,0.15534327624990577,0.008151766319027899,0.13936610785422443,0.1713204446455871,1
8,2500,5,bounded,seqmar,0.15,seq,0.15204772712618292,0.008980002776830052,0.13444724510252634,0.1696482091498395,1
9,2500,5,bounded,seqmar,0.15,full,0.15208047100478958,0.006723168036677346,0.1389033037908911,0.16525763821868805,1
9,2500,5,bounded,seqmar,0.15,cc,0.15678136025326092,0.008830304960666448,0.1394742805578493,0.17408843994867254,1
9,2500,5,bounded,seqmar,0.15,seq,0.1476062020114272,0.011529197698479854,0.12500938975176462,0.1702030142710898,1
10,2500,5,bounded,seqmar,0.15,full,0.14274262957643,0.006551931600969738,0.12990107960935945,0.15558417954350054,1
10,2500,5,bounded,seqmar,0.15,cc,0.14718427336578102,0.008255326267218872,0.13100413120140456,0.1633644155301575,1
10,2500,5,bounded,seqmar,0.15,seq,0.150480186484939,0.008988691307676967,0.1328626752537439,0.1680976977161341,1
11,2500,5,bounded,seqmar,0.15,full,0.15720659673177864,0.006710689731577797,0.1440538865464634,0.1703593069170939,1
11,2500,5,bounded,seqmar,0.15,cc,0.16507828644504624,0.008574741412748737,0.14827210209931463,0.18188447079077785,1
11,2500,5,bounded,seqmar,0.15,seq,0.1569504569821364,0.008278346563548656,0.1407251958660401,0.17317571809823268,1
12,2500,5,bounded,seqmar,0.15,full,0.14162975288316923,0.006595064624916431,0.12870366374261885,0.1545558420237196,1
12,2500,5,bounded,seqmar,0.15,cc,0.1441061050049029,0.008021297902755194,0.12838465000623606,0.15982756000356974,1
12,2500,5,bounded,seqmar,0.15,seq,0.14911711427896132,0.009583195813391497,0.13033439562791896,0.16789983293000368,1
13,2500,5,bounded,seqmar,0.15,full,0.15437443819670923,0.006540060010574504,0.14155615611925257,0.1671927202741659,1
13,2500,5,bounded,seqmar,0.15,cc,0.1545647261186979,0.008017809321979806,0.13885010861270797,0.17027934362468783,1
13,2500,5,bounded,seqmar,0.15,seq,0.14721981265307146,0.00892997131855093,0.129717390485736,0.16472223482040693,1
