replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,stress,ccmar,0.2558505160746848,full,0.2436194199609272,0.010297288057373595,0.22343710623004054,0.26380173369181387,1
1,2500,5,stress,ccmar,0.2558505160746848,cc,0.2635242699917409,0.018859371096332886,0.22656058187185277,0.30048795811162904,1
1,2500,5,stress,ccmar,0.2558505160746848,seq,0.26412334755466743,0.018453068144052884,0.2279559985880604,0.3002906965212745,1
2,2500,5,stress,ccmar,0.2558505160746848,full,0.2619982981161444,0.009141727230903595,0.24408084198708427,0.27991575424520454,1
2,2500,5,stress,ccmar,0.2558505160746848,cc,0.26117520415154716,0.014005839877649261,0.23372426241811972,0.2886261458849746,1
2,2500,5,stress,ccmar,0.2558505160746848,seq,0.266021557667667,0.013684434458763058,0.23920055897969253,0.29284255635564144,1
3,2500,5,stress,ccmar,0.2558505160746848,full,0.2522162874114359,0.009255366407005633,0.23407610258998302,0.27035647223288883,1
3,2500,5,stress,ccmar,0.2558505160746848,cc,0.2630576930582716,0.015348314692983511,0.23297554903663698,0.2931398370799062,1
3,2500,5,stress,ccmar,0.2558505160746848,seq,0.2640279895454119,0.015213313033108808,0.23421044391498483,0.293845535175839,1
4,2500,5,stress,ccmar,0.2558505160746848,full,0.2648003469830852,0.009696534071897295,0.24579548942730098,0.2838052045388694,1
4,2500,5,stress,ccmar,0.2558505160746848,cc,0.25877736964935394,0.012758561580328566,0.2337710484573735,0.28378369084133437,1
4,2500,5,stress,ccmar,0.2558505160746848,seq,0.260206300063424,0.012454284762006274,0.2357963504766857,0.2846162496501623,1
5,2500,5,stress,ccmar,0.2558505160746848,full,0.25099432406930167,0.009725849118183917,0.23193201007859054,0.2700566380600128,1
5,2500,5,stress,ccmar,0.2558505160746848,cc,0.24159553226559055,0.014189062174239497,0.21378548142968154,0.26940558310149954,1
5,2500,5,stress,ccmar,0.2558505160746848,seq,0.24095358535776276,0.013227307039849433,0.21502853994720475,0.26687863076832075,1
6,2500,5,stress,ccmar,0.2558505160746848,full,0.274492721168034,0.013363916026769456,0.24829992706314827,0.30068551527291976,1
6,2500,5,stress,ccmar,0.2558505160746848,cc,0.26908534207230084,0.015295383861345144,0.23910694057434917,0.2990637435702525,1
6,2500,5,stress,ccmar,0.2558505160746848,seq,0.26764719543808013,0.01493325644585302,0.2383785506323076,0.29691584024385265,1
7,2500,5,stress,ccmar,0.2558505160746848,full,0.2629762795766909,0.009801550432640195,0.24376559373606313,0.2821869654173187,1
7,2500,5,stress,ccmar,0.2558505160746848,cc,0.2643988550472706,0.015547104810798294,0.23392708955423655,0.29487062054030466,1
7,2500,5,stress,ccmar,0.2558505160746848,seq,0.2701209345977605,0.015024553048266893,0.2406733517393459,0.2995685174561751,1
8,2500,5,stress,ccmar,0.2558505160746848,full,0.2643892590499691,0.009129783530277588,0.2464952121439781,0.28228330595596013,1
8,2500,5,stress,ccmar,0.2558505160746848,cc,0.27923506505499274,0.016348949304431475,0.24719171323323588,0.3112784168767496,1
8,2500,5,stress,ccmar,0.2558505160746848,seq,0.28359473957691206,0.0165173255133519,0.2512213764498178,0.3159681027040063,1
9,2500,5,stress,ccmar,0.2558505160746848,full,0.24299827641713592,0.008877885185389468,0.22559794119489085,0.260398611639381,1
9,2500,5,stress,ccmar,0.2558505160746848,cc,0.23201450117280037,0.013505008586440059,0.20554517073247366,0.25848383161312705,1
9,2500,5,stress,ccmar,0.2558505160746848,seq,0.23193978156528938,0.013472949275789882,0.20553328621920622,0.2583462769113726,1
10,2500,5,stress,ccmar,0.2558505160746848,full,0.24424962623168794,0.009507111158762393,0.2256160307634948,0.2628832216998811,1
10,2500,5,stress,ccmar,0.2558505160746848,cc,0.2583302619018079,0.013446856116724854,0.23197490820773506,0.28468561559588074,1
10,2500,5,stress,ccmar,0.2558505160746848,seq,0.25600818827959376,0.012959278715965498,0.2306084687306849,0.2814079078285026,1
11,2500,5,stress,ccmar,0.2558505160746848,full,0.25388000672769123,0.009610967728220721,0.23504285612380188,0.2727171573315806,1
11,2500,5,stress,ccmar,0.2558505160746848,cc,0.238058358423315,0.012213172908619188,0.2141209793854611,0.2619957374611689,1
11,2500,5,stress,ccmar,0.2558505160746848,seq,0.24497165898193207,0.011852396663888853,0.22174138839022722,0.2682019295736369,1
12,2500,5,stress,ccmar,0.2558505160746848,full,0.26832476009003414,0.01011364174438985,0.2485023865184892,0.28814713366157907,1
12,2500,5,stress,ccmar,0.2558505160746848,cc,0.2533927499779928,0.016512021110419,0.2210297832896065,0.2857557166663791,1
12,2500,5,stress,ccmar,0.2558505160746848,seq,0.25462172148226325,0.01605066380759353,0.2231629984914194,0.2860804444731071,1
13,2500,5,stress,ccmar,0.2558505160746848,full,0.2664045658417791,0.009771378773928108,0.24725301536558084,0.28555611631797734,1
13,2500,5,stress,ccmar,0.2558505160746848,cc,0.28280819061983836,0.018905948957582103,0.24575321156942487,0.31986316967025186,1
13,2500,5,stress,ccmar,0.2558505160746848,seq,0.2816166006700443,0.018540502250554897,0.24527788400367287,0.3179553173364157,1
14,2500,5,stress,ccmar,0.2558505160746848,full,0.24764713789971057,0.010163042978255819,0.2277279396889965,0.2675663361104247,1
14,2500,5,stress,ccmar,0.2558505160746848,cc,0.25482883542677426,0.014516541599185242,0.2263769367122937,0.2832807341412548,1
14,2500,5,stress,ccmar,0.2558505160746848,seq,0.2589200905632247,0.014015071043493641,0.23145105607720695,0.2863891250492424,1
15,2500,5,stress,ccmar,0.2558505160746848,full,0.26446380219187215,0.010145138376931769,0.24457969635491075,0.2843479080288336,1
15,2500,5,stress,ccmar,0.2558505160746848,cc,0.2772875716955618,0.02190040381382347,0.23436356897358415,0.32021157441753945,1
15,2500,5,stress,ccmar,0.2558505160746848,seq,0.27608376005138097,0.021591738725258144,0.23376472978627622,0.3184027903164857,1
16,2500,5,stress,ccmar,0.2558505160746848,full,0.2469527946168512,0.010472053933407024,0.22642794606321243,0.26747764317049,1
16,2500,5,stress,ccmar,0.2558505160746848,cc,0.2628504553041006,0.018230337480643597,0.2271196504160285,0.29858126019217274,1
