replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,stress,seqmar,0.2558505160746848,full,0.2626321116979806,0.009039768942183357,0.2449144901427375,0.28034973325322377,1
1,2500,5,stress,seqmar,0.2558505160746848,cc,0.23138205894958064,0.016023113086825268,0.19997733437919069,0.2627867835199706,1
1,2500,5,stress,seqmar,0.2558505160746848,seq,0.26261183331634175,0.012247039569406277,0.2386080768430685,0.286615589789615,1
2,2500,5,stress,seqmar,0.2558505160746848,full,0.24457869472636398,0.010408564984111836,0.22417828222676006,0.2649791072259679,1
2,2500,5,stress,seqmar,0.2558505160746848,cc,0.20644095393808284,0.017684522346467637,0.1717799270552125,0.2411019808209532,0
2,2500,5,stress,seqmar,0.2558505160746848,seq,0.2635691337534411,0.024943361621495904,0.21468104332195054,0.31245722418493166,1
3,2500,5,stress,seqmar,0.2558505160746848,full,0.26798622097196795,0.008880505646829538,0.2505807497396775,0.2853916922042584,1
3,2500,5,stress,seqmar,0.2558505160746848,cc,0.23973574049229746,0.013231456217105052,0.21380256284375296,0.2656689181408419,1
3,2500,5,stress,seqmar,0.2558505160746848,seq,0.2665492740035175,0.011372110931363083,0.24426034614985162,0.2888382018571834,1
4,2500,5,stress,seqmar,0.2558505160746848,full,0.25918223064809565,0.010586594339538213,0.23843288702366516,0.27993157427252613,1
4,2500,5,stress,seqmar,0.2558505160746848,cc,0.22990113896051362,0.012473615388726732,0.20545330204160464,0.2543489758794226,0
4,2500,5,stress,seqmar,0.2558505160746848,seq,0.2596816891937362,0.017402909340824127,0.2255726136595052,0.29379076472796717,1
5,2500,5,stress,seqmar,0.2558505160746848,full,0.23794715496903174,0.009430585027237502,0.21946354796250356,0.2564307619755599,1
5,2500,5,stress,seqmar,0.2558505160746848,cc,0.19158690770963885,0.013812721655480576,0.16451447073642045,0.21865934468285725,0
5,2500,5,stress,seqmar,0.2558505160746848,seq,0.2400746130797089,0.015412474040687064,0.20986671904730372,0.27028250711211405,1
6,2500,5,stress,seqmar,0.2558505160746848,full,0.26124924102767877,0.008945347769128588,0.24371668157100101,0.2787818004843565,1
6,2500,5,stress,seqmar,0.2558505160746848,cc,0.21746126044307593,0.012956023307541687,0.19206792137743273,0.24285459950871913,0
6,2500,5,stress,seqmar,0.2558505160746848,seq,0.24746616207241331,0.011584099102745047,0.22476174503769025,0.2701705791071364,1
7,2500,5,stress,seqmar,0.2558505160746848,full,0.25791116019125354,0.0093852011398931,0.2395165039693988,0.27630581641310825,1
7,2500,5,stress,seqmar,0.2558505160746848,cc,0.20975781144598726,0.013297387920824265,0.18369541003271375,0.23582021285926077,0
7,2500,5,stress,seqmar,0.2558505160746848,seq,0.24754589645804295,0.0121129854151776,0.2238048812990359,0.27128691161705,1
8,2500,5,stress,seqmar,0.2558505160746848,full,0.248946873414103,0.009227796631496664,0.2308607243597095,0.2670330224684965,1
8,2500,5,stress,seqmar,0.2558505160746848,cc,0.2042548125099394,0.012958033181501913,0.1788575341637207,0.22965209085615812,0
8,2500,5,stress,seqmar,0.2558505160746848,seq,0.24597277832783337,0.01184274565413207,0.22276142336766627,0.26918413328800045,1
9,2500,5,stress,seqmar,0.2558505160746848,full,0.25753381912084833,0.011216774459999695,0.23554934515654022,0.27951829308515647,1
9,2500,5,stress,seqmar,0.2558505160746848,cc,0.19697402837770403,0.023210035412346796,0.15148319488960504,0.24246486186580302,0
9,2500,5,stress,seqmar,0.2558505160746848,seq,0.2471238223455026,0.021622563691485762,0.20474437625676706,0.2895032684342381,1
10,2500,5,stress,seqmar,0.2558505160746848,full,0.2566905553386876,0.02077681180027151,0.21596875249658865,0.2974123581807866,1
10,2500,5,stress,seqmar,0.2558505160746848,cc,0.20752960862760061,0.016283792766030883,0.1756139612744662,0.23944525598073502,0
10,2500,5,stress,seqmar,0.2558505160746848,seq,0.2382956189673232,0.014088933375011157,0.21068181697171698,0.2659094209629294,1
11,2500,5,stress,seqmar,0.2558505160746848,full,0.2698571343289878,0.011346539043299138,0.24761832645494392,0.29209594220303164,1
11,2500,5,stress,seqmar,0.2558505160746848,cc,0.22512611898909723,0.013863430034155622,0.19795429541996132,0.2522979425582331,0
11,2500,5,stress,seqmar,0.2558505160746848,seq,0.2744845284059648,0.021469039843505025,0.23240598353003955,0.3165630732818901,1
12,2500,5,stress,seqmar,0.2558505160746848,full,0.25215677402081993,0.009065035398102928,0.2343896311219575,0.26992391691968237,1
12,2500,5,stress,seqmar,0.2558505160746848,cc,0.23272471637345843,0.01470796921819009,0.2038976264200821,0.2615518063268347,1
12,2500,5,stress,seqmar,0.2558505160746848,seq,0.2693032776549106,0.01434301527097732,0.24119148429408702,0.2974150710157341,1
13,2500,5,stress,seqmar,0.2558505160746848,full,0.26251205948572587,0.010025598260202067,0.24286224797226239,0.2821618709991893,1
13,2500,5,stress,seqmar,0.2558505160746848,cc,0.22597704066998786,0.015099476988338627,0.19638260958745282,0.25557147175252287,0
13,2500,5,stress,seqmar,0.2558505160746848,seq,0.25491257859777905,0.015093125484721324,0.2253305962335816,0.2844945609619765,1
14,2500,5,stress,seqmar,0.2558505160746848,full,0.2598434809782545,0.008850403026041493,0.24249700979854885,0.2771899521579601,1
14,2500,5,stress,seqmar,0.2558505160746848,cc,0.21871079934130122,0.012972748797500395,0.19328467891771514,0.2441369197648873,0
14,2500,5,stress,seqmar,0.2558505160746848,seq,0.25768108706189297,0.01619001060417899,0.2259492493683806,0.28941292475540537,1
15,2500,5,stress,seqmar,0.2558505160746848,full,0.2376376501510746,0.008557444594301022,0.22086536694654763,0.2544099333556016,0
15,2500,5,stress,seqmar,0.2558505160746848,cc,0.20241146493621562,0.011481446753715903,0.17990824280851814,0.2249146870639131,0
15,2500,5,stress,seqmar,0.2558505160746848,seq,0.2438293216467775,0.015261868675614298,0.21391660870579346,0.27374203458776153,1
16,2500,5,stress,seqmar,0.2558505160746848,full,0.2696381412116047,0.00984245962362123,0.2503472748300174,0.28892900759319196,1
16,2500,5,stress,seqmar,0.2558505160746848,cc,0.258800488253704,0.0180482787765789,0.22342651186867074,0.29417446463873725,1
16,2500,5,stress,seqmar,0.2558505160746848,seq,0.2811399699504058,0.015321985773997803,0.25110942966173505,0.31117051023907655,1
17,2500,5,stress,seqmar,0.2558505160746848,full,0.24505362216878165,0.011146893280586968,0.22320611279931968,0.26690113153824363,1
17,2500,5,stress,seqmar,0.2558505160746848,cc,0.2067081179665034,0.022786800861036093,0.16204680895598636,0.2513694269770204,0
17,2500,5,stress,seqmar,0.2558505160746848,seq,0.23219301087448374,0.02871039270066568,0.17592167519917734,0.28846434654979014,1
18,2500,5,stress,seqmar,0.2558505160746848,full,0.26306858961678464,0.008956294742862591,0.24551457448584854,0.2806226047477207,1
18,2500,5,stress,seqmar,0.2558505160746848,cc,0.23534518474716934,0.017440530548421897,0.20116237300099182,0.26952799649334686,1
18,2500,5,stress,seqmar,0.2558505160746848,seq,0.26851389137948334,0.012797740024941362,0.24343078184709155,0.29359700091187513,1
19,2500,5,stress,seqmar,0.2558505160746848,full,0.26050266657333804,0.008951485065620005,0.24295807823657467,0.2780472549101014,1
19,2500,5,stress,seqmar,0.2558505160746848,cc,0.24104782435752162,0.014106575206784934,0.2133994450070175,0.26869620370802577,1
19,2500,5,stress,seqmar,0.2558505160746848,seq,0.293502999497569,0.02362316943098469,0.24720243821215143,0.3398035607829865,1
20,2500,5,stress,seqmar,0.2558505160746848,full,0.27248063384084664,0.010628128369496748,0.2516498850135646,0.2933113826681287,1
20,2500,5,stress,seqmar,0.2558505160746848,cc,0.23813563645236122,0.02044588429832182,0.19806243959557746,0.278208833309145,1
20,2500,5,stress,seqmar,0.2558505160746848,seq,0.26269536803863003,0.014580841187661968,0.23411744444651433,0.2912732916307457,1
21,2500,5,stress,seqmar,0.2558505160746848,full,0.2608198636473742,0.011539344029175266,0.23820316494497334,0.28343656234977505,1
21,2500,5,stress,seqmar,0.2558505160746848,cc,0.2030145331013006,0.024759288294271382,0.15448721976168456,0.25154184644091665,0
21,2500,5,stress,seqmar,0.2558505160746848,seq,0.2469521839216316,0.018183473209060348,0.21131323131802435,0.2825911365252388,1
22,2500,5,stress,seqmar,0.2558505160746848,full,0.24319777791761515,0.012585852317738521,0.21852996066010769,0.2678655951751226,1
22,2500,5,stress,seqmar,0.2558505160746848,cc,0.22439368240985824,0.015576599544998014,0.19386410830005915,0.25492325651965736,0
22,2500,5,stress,seqmar,0.2558505160746848,seq,0.24434434671147684,0.017031551232829227,0.2109631196942828,0.2777255737286709,1
23,2500,5,stress,seqmar,0.2558505160746848,full,0.26172211264095435,0.010863220673544867,0.24043059136469547,0.28301363391721324,1
23,2500,5,stress,seqmar,0.2558505160746848,cc,0.22482010227038454,0.013799919993894976,0.1977727560928162,0.2518674484479529,0
23,2500,5,stress,seqmar,0.2558505160746848,seq,0.2629071538229695,0.012680651485616009,0.23805353361065776,0.28776077403528116,1
24,2500,5,stress,seqmar,0.2558505160746848,full,0.2612085937976145,0.01016189735425479,0.24129164096868227,0.28112554662654676,1
24,2500,5,stress,seqmar,0.2558505160746848,cc,0.20535876172304232,0.013749424953006432,0.1784103840070134,0.23230713943907125,0
24,2500,5,stress,seqmar,0.2558505160746848,seq,0.25140717150482694,0.013775944724839702,0.22440681599112658,0.2784075270185273,1
25,2500,5,stress,seqmar,0.2558505160746848,full,0.2505969149068056,0.009189889240785022,0.23258506297295478,0.2686087668406564,1
25,2500,5,stress,seqmar,0.2558505160746848,cc,0.21398187528053117,0.013532469557678095,0.18745872232559743,0.2405050282354649,0
25,2500,5,stress,seqmar,0.2558505160746848,seq,0.24575976002331373,0.012551762186404547,0.22115875819544908,0.27036076185117836,1
26,2500,5,stress,seqmar,0.2558505160746848,full,0.2624075059643598,0.011300230916965505,0.24025946035012138,0.28455555157859824,1
26,2500,5,stress,seqmar,0.2558505160746848,cc,0.23095412163789142,0.019728148440349834,0.19228766121314572,0.2696205820626371,1
26,2500,5,stress,seqmar,0.2558505160746848,seq,0.27901927067673576,0.017231072758809432,0.24524698865448005,0.3127915526989915,1
27,2500,5,stress,seqmar,0.2558505160746848,full,0.2598592840820376,0.017876616735020077,0.22482175911597227,0.294896809048103,1
27,2500,5,stress,seqmar,0.2558505160746848,cc,0.2557569360690153,0.057465578087193506,0.14312647266734188,0.36838739947068866,1
