replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,stress,ccmar,0.2558505160746848,full,0.2474918318231617,0.00903691950300423,0.2297797950660858,0.2652038685802376,1
1,2500,5,stress,ccmar,0.2558505160746848,cc,0.2962106892840536,0.040115816525892044,0.21758513368288845,0.3748362448852187,1
1,2500,5,stress,ccmar,0.2558505160746848,seq,0.28997123047449075,0.035820774814366144,0.21976380194001366,0.36017865900896784,1
2,2500,5,stress,ccmar,0.2558505160746848,full,0.2610865080956455,0.008584843550087986,0.24426052392456205,0.2779124922667289,1
2,2500,5,stress,ccmar,0.2558505160746848,cc,0.30782487226219046,0.02450838168252797,0.2597893268450745,0.35586041767930643,0
2,2500,5,stress,ccmar,0.2558505160746848,seq,0.3082160606547275,0.026546686069480626,0.25618551204965434,0.3602466092598007,0
3,2500,5,stress,ccmar,0.2558505160746848,full,0.24579694238757074,0.009255759190884252,0.22765598772386203,0.26393789705127946,1
3,2500,5,stress,ccmar,0.2558505160746848,cc,0.2855125752689423,0.017884366089485005,0.25045986184722224,0.32056528869066236,1
3,2500,5,stress,ccmar,0.2558505160746848,seq,0.29627030556377304,0.0173800832952395,0.2622059682567974,0.3303346428707487,0
4,2500,5,stress,ccmar,0.2558505160746848,full,0.2715117774280281,0.00900724137499499,0.2538579087329789,0.2891656461230773,1
4,2500,5,stress,ccmar,0.2558505160746848,cc,0.23288567311671227,0.02465741620874529,0.18455802539575733,0.2812133208376672,1
4,2500,5,stress,ccmar,0.2558505160746848,seq,0.23192556531206723,0.028568274677863305,0.17593277584300754,0.28791835478112693,1
5,2500,5,stress,ccmar,0.2558505160746848,full,0.23493533316491552,0.009935348090850426,0.2154624087329799,0.25440825759685115,0
5,2500,5,stress,ccmar,0.2558505160746848,cc,0.24960774042385173,0.025943919860414305,0.19875859187964626,0.30045688896805717,1
5,2500,5,stress,ccmar,0.2558505160746848,seq,0.24365395619793243,0.025634905844725275,0.19341046399519557,0.2938974484006693,1
6,2500,5,stress,ccmar,0.2558505160746848,full,0.2628010359662023,0.010052986298228539,0.24309754488459973,0.2825045270478049,1
6,2500,5,stress,ccmar,0.2558505160746848,cc,0.22127502834688076,0.05286790964100078,0.11765582951260134,0.3248942271811602,1
6,2500,5,stress,ccmar,0.2558505160746848,seq,0.21842963892117254,0.05137295744650527,0.11774049254671343,0.31911878529563165,1
7,2500,5,stress,ccmar,0.2558505160746848,full,0.26416973316246595,0.009332425635337932,0.24587851502880526,0.28246095129612664,1
7,2500,5,stress,ccmar,0.2558505160746848,cc,0.2267878106631207,0.018438942892964688,0.19064814667991914,0.26292747464632227,1
7,2500,5,stress,ccmar,0.2558505160746848,seq,0.2279932618361888,0.01845808262585694,0.19181608466584468,0.2641704390065329,1
8,2500,5,stress,ccmar,0.2558505160746848,full,0.2566999000418064,0.009071149148455672,0.23892077441244208,0.27447902567117066,1
8,2500,5,stress,ccmar,0.2558505160746848,cc,0.26333902676304394,0.026053535541412057,0.21227503543194204,0.31440301809414584,1
8,2500,5,stress,ccmar,0.2558505160746848,seq,0.26678842751436493,0.027339345327749252,0.213204295311073,0.3203725597176569,1
9,2500,5,stress,ccmar,0.2558505160746848,full,0.26277877561934504,0.009136497005796938,0.244871570543125,0.28068598069556505,1
9,2500,5,stress,ccmar,0.2558505160746848,cc,0.24836591442329944,0.024477752070190702,0.2003904019432249,0.29634142690337395,1
9,2500,5,stress,ccmar,0.2558505160746848,seq,0.24151617694687438,0.025110448255299827,0.19230060273083008,0.29073175116291866,1
10,2500,5,stress,ccmar,0.2558505160746848,full,0.2542451674218158,0.008943389911685336,0.23671644529521368,0.2717738895484179,1
10,2500,5,stress,ccmar,0.2558505160746848,cc,0.2637895213147159,0.01994838252939639,0.22469141000727094,0.30288763262216084,1
10,2500,5,stress,ccmar,0.2558505160746848,seq,0.2527552610309017,0.020826208557751427,0.211936642323189,0.2935738797386143,1
11,2500,5,stress,ccmar,0.2558505160746848,full,0.2612742751455311,0.01076444052453901,0.24017635940371118,0.282372190887351,1
11,2500,5,stress,ccmar,0.2558505160746848,cc,0.2673895051909419,0.01806011511594727,0.23199233000703784,0.30278668037484596,1
11,2500,5,stress,ccmar,0.2558505160746848,seq,0.2719748976001442,0.017825543325361633,0.23703747467757705,0.30691232052271133,1
12,2500,5,stress,ccmar,0.2558505160746848,full,0.2703134185462217,0.010390472627220709,0.24994846641451984,0.29067837067792357,1
12,2500,5,stress,ccmar,0.2558505160746848,cc,0.24339801992481058,0.024545822123290675,0.19528909259223437,0.2915069472573868,1
12,2500,5,stress,ccmar,0.2558505160746848,seq,0.24247688705765785,0.02442100737127987,0.19461259214376214,0.29034118197155356,1
13,2500,5,stress,ccmar,0.2558505160746848,full,0.2689494484536457,0.008951989054442595,0.25140387231694145,0.28649502459035,1
13,2500,5,stress,ccmar,0.2558505160746848,cc,0.2352069266070098,0.029055235591739847,0.17825971128487336,0.29215414192914624,1
13,2500,5,stress,ccmar,0.2558505160746848,seq,0.22859853095195376,0.03246418999518886,0.16496988777411803,0.2922271741297895,1
14,2500,5,stress,ccmar,0.2558505160746848,full,0.24644729310976854,0.009070155934291392,0.22867011414439517,0.26422447207514194,1
14,2500,5,stress,ccmar,0.2558505160746848,cc,0.24996772512097878,0.020414550397287318,0.2099559415817178,0.2899795086602398,1
14,2500,5,stress,ccmar,0.2558505160746848,seq,0.2509871873897113,0.019518760642721626,0.21273111950711907,0.2892432552723036,1
15,2500,5,stress,ccmar,0.2558505160746848,full,0.2705245249181123,0.010052173594976135,0.25082262670561456,0.29022642313061003,1
15,2500,5,stress,ccmar,0.2558505160746848,cc,0.21900660712854078,0.04453654059069208,0.13171659157477808,0.3062966226823035,1
