replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,5000,5,stress,seqmar,0.2558505160746848,full,0.2525091715029419,0.006297451644794143,0.24016639308476284,0.26485194992112093,1
1,5000,5,stress,seqmar,0.2558505160746848,cc,0.20755724835918182,0.011322026730191373,0.18536648373600695,0.2297480129823567,0
1,5000,5,stress,seqmar,0.2558505160746848,seq,0.22434708088349917,0.019058796378495477,0.18699252639296562,0.26170163537403274,1
2,5000,5,stress,seqmar,0.2558505160746848,full,0.25287619909017567,0.006655863888409127,0.23983094558289306,0.26592145259745825,1
2,5000,5,stress,seqmar,0.2558505160746848,cc,0.19715652859023777,0.026562644446672924,0.14509470214061598,0.24921835503985956,0
2,5000,5,stress,seqmar,0.2558505160746848,seq,0.22375966466838837,0.018838037661100312,0.1868377893132226,0.26068154002355415,1
3,5000,5,stress,seqmar,0.2558505160746848,full,0.2593390104575402,0.006809347797489631,0.24599293401625338,0.27268508689882703,1
3,5000,5,stress,seqmar,0.2558505160746848,cc,0.23131594192338853,0.01532766569319509,0.20127426919765598,0.26135761464912105,1
3,5000,5,stress,seqmar,0.2558505160746848,seq,0.26005771057783034,0.012713369140708813,0.23513996493987813,0.2849754562157826,1
4,5000,5,stress,seqmar,0.2558505160746848,full,0.25548337450947867,0.006464050358781717,0.2428140686120133,0.26815268040694407,1
4,5000,5,stress,seqmar,0.2558505160746848,cc,0.22271003486723567,0.01495815621527443,0.19339258741017382,0.2520274823242975,0
4,5000,5,stress,seqmar,0.2558505160746848,seq,0.260075213579084,0.017985336165528776,0.22482460244480185,0.2953258247133661,1
5,5000,5,stress,seqmar,0.2558505160746848,full,0.26026625450884916,0.007380825356758789,0.24580010263342195,0.2747324063842764,1
5,5000,5,stress,seqmar,0.2558505160746848,cc,0.18612284936112392,0.02723479074332626,0.1327436403777196,0.23950205834452823,0
5,5000,5,stress,seqmar,0.2558505160746848,seq,0.2384859514708073,0.017175604494523673,0.20482238524883664,0.272149517692778,1
6,5000,5,stress,seqmar,0.2558505160746848,full,0.24596253130357418,0.0069255772259746076,0.23238864936851314,0.25953641323863524,1
6,5000,5,stress,seqmar,0.2558505160746848,cc,0.22261709323385895,0.010188683267674067,0.2026476409793319,0.24258654548838599,0
6,5000,5,stress,seqmar,0.2558505160746848,seq,0.2364081557928982,0.015564608485546296,0.20590208372776095,0.2669142278580355,1
7,5000,5,stress,seqmar,0.2558505160746848,full,0.26171249088630505,0.0071922665599806,0.24761590746153128,0.2758090743110788,1
7,5000,5,stress,seqmar,0.2558505160746848,cc,0.22570006117860347,0.0163451352711016,0.193664184724809,0.25773593763239794,1
7,5000,5,stress,seqmar,0.2558505160746848,seq,0.2980287380654756,0.04743448992548163,0.20505884618650355,0.3909986299444476,1
8,5000,5,stress,seqmar,0.2558505160746848,full,0.2600390906959166,0.006622989675284658,0.24705826946237802,0.27301991192945513,1
8,5000,5,stress,seqmar,0.2558505160746848,cc,0.23588505950002592,0.009743630890062055,0.21678789387685235,0.2549822251231995,0
8,5000,5,stress,seqmar,0.2558505160746848,seq,0.28440947175814146,0.009758585368021754,0.2652829958967593,0.3035359476195236,0
9,5000,5,stress,seqmar,0.2558505160746848,full,0.26178823686386415,0.006518216513773024,0.2490127672534348,0.2745637064742935,1
9,5000,5,stress,seqmar,0.2558505160746848,cc,0.22300679689377084,0.013639727206840944,0.19627342280941149,0.2497401709781302,0
9,5000,5,stress,seqmar,0.2558505160746848,seq,0.26632997492085,0.015217029901698901,0.23650514436185105,0.2961548054798489,1
10,5000,5,stress,seqmar,0.2558505160746848,full,0.260350940431926,0.006373292352896007,0.24785951695730532,0.27284236390654676,1
10,5000,5,stress,seqmar,0.2558505160746848,cc,0.2531229680014806,0.015468586719447385,0.22280509513962915,0.28344084086333204,1
10,5000,5,stress,seqmar,0.2558505160746848,seq,0.2753889100746718,0.015355345107774757,0.24529298669324998,0.3054848334560937,1
11,5000,5,stress,seqmar,0.2558505160746848,full,0.2604432834839784,0.007154780871519353,0.24642017065852434,0.2744663963094324,1
11,5000,5,stress,seqmar,0.2558505160746848,cc,0.22068911959893717,0.01473467290900682,0.19180969137330578,0.24956854782456855,0
11,5000,5,stress,seqmar,0.2558505160746848,seq,0.24506058046888174,0.01463219859106075,0.21638199821576495,0.27373916272199855,1
12,5000,5,stress,seqmar,0.2558505160746848,full,0.26280905093074763,0.00685176558352885,0.24937983715652,0.27623826470497526,1
12,5000,5,stress,seqmar,0.2558505160746848,cc,0.22092294380081604,0.014759044850130968,0.19199574744834796,0.2498501401532841,0
12,5000,5,stress,seqmar,0.2558505160746848,seq,0.26377358216638525,0.018433981650032627,0.22764364204064907,0.2999035222921214,1
13,5000,5,stress,seqmar,0.2558505160746848,full,0.25004088632030297,0.0069170643641105695,0.2364836892879008,0.2635980833527051,1
13,5000,5,stress,seqmar,0.2558505160746848,cc,0.1868419838562206,0.011549149552330822,0.16420606668158533,0.2094779010308559,0
13,5000,5,stress,seqmar,0.2558505160746848,seq,0.2271177314443039,0.009875458659521146,0.20776218814082825,0.24647327474777952,0
14,5000,5,stress,seqmar,0.2558505160746848,full,0.25229323201672954,0.0065598843291930975,0.23943609498876237,0.2651503690446967,1
14,5000,5,stress,seqmar,0.2558505160746848,cc,0.21175465887908282,0.014855290415922094,0.18263882468399248,0.24087049307417316,0
14,5000,5,stress,seqmar,0.2558505160746848,seq,0.2575690301507724,0.011243400716126981,0.23553236968341168,0.2796056906181332,1
15,5000,5,stress,seqmar,0.2558505160746848,full,0.25280014313337723,0.006488305847330057,0.24008329735192968,0.2655169889148248,1
15,5000,5,stress,seqmar,0.2558505160746848,cc,0.2055382370600118,0.009708723823291134,0.18650948803051517,0.22456698608950845,0
15,5000,5,stress,seqmar,0.2558505160746848,seq,0.24162840766661783,0.011319498576221382,0.2194425981341715,0.26381421719906417,1
16,5000,5,stress,seqmar,0.2558505160746848,full,0.259215696242771,0.006414062267221405,0.24664436520441974,0.2717870272811223,1
16,5000,5,stress,seqmar,0.2558505160746848,cc,0.20629889617648645,0.014887911329024426,0.17711912616657272,0.23547866618640018,0
16,5000,5,stress,seqmar,0.2558505160746848,seq,0.19291599996113687,0.06358438213658685,0.06829290099419467,0.3175390989280791,1
17,5000,5,stress,seqmar,0.2558505160746848,full,0.2638061781344311,0.007113023170559568,0.24986490889893542,0.27774744736992674,1
17,5000,5,stress,seqmar,0.2558505160746848,cc,0.22982505505119144,0.013873449621466243,0.20263359345178675,0.2570165166505961,1
17,5000,5,stress,seqmar,0.2558505160746848,seq,0.2714127475982179,0.016827555723398977,0.238431344432515,0.30439415076392073,1
18,5000,5,stress,seqmar,0.2558505160746848,full,0.2457157312575312,0.006407178141215228,0.2331578928582171,0.25827356965684534,1
18,5000,5,stress,seqmar,0.2558505160746848,cc,0.22112008040517603,0.010146242959770551,0.20123380962563267,0.2410063511847194,0
18,5000,5,stress,seqmar,0.2558505160746848,seq,0.2576659642081911,0.015738111352403262,0.22681983277279974,0.28851209564358243,1
19,5000,5,stress,seqmar,0.2558505160746848,full,0.25455477834117235,0.006554775207583698,0.24170765500755226,0.26740190167479244,1
19,5000,5,stress,seqmar,0.2558505160746848,cc,0.2311067421466144,0.014711579943396997,0.20227257530187448,0.2599409089913543,1
19,5000,5,stress,seqmar,0.2558505160746848,seq,0.26847702564984277,0.015138527637900589,0.2388060567005934,0.29814799459909214,1
20,5000,5,stress,seqmar,0.2558505160746848,full,0.25274091859159664,0.006843456253953588,0.23932799080407222,0.2661538463791211,1
20,5000,5,stress,seqmar,0.2558505160746848,cc,0.21734184259126704,0.010990452743576106,0.19580095104006845,0.23888273414246564,0
20,5000,5,stress,seqmar,0.2558505160746848,seq,0.25130249726251375,0.012082218100057128,0.2276217849330438,0.2749832095919837,1
21,5000,5,stress,seqmar,0.2558505160746848,full,0.26306989826173965,0.006289902304388519,0.25074191627886266,0.27539788024461664,1
21,5000,5,stress,seqmar,0.2558505160746848,cc,0.24364869548894494,0.011662215026012055,0.22079117405799947,0.2665062169198904,1
21,5000,5,stress,seqmar,0.2558505160746848,seq,0.2748928475296811,0.010143818573148623,0.2550113284606013,0.29477436659876083,1
22,5000,5,stress,seqmar,0.2558505160746848,full,0.2590914353171694,0.006347493937133997,0.2466505758083004,0.27153229482603836,1
22,5000,5,stress,seqmar,0.2558505160746848,cc,0.24572977793507608,0.010446183384598516,0.22525563472536225,0.2662039211447899,1
22,5000,5,stress,seqmar,0.2558505160746848,seq,0.2789592248825141,0.00944390714183834,0.26044950701117037,0.2974689427538579,0
23,5000,5,stress,seqmar,0.2558505160746848,full,0.25384763659426524,0.006358344674829592,0.2413855100303072,0.2663097631582233,1
23,5000,5,stress,seqmar,0.2558505160746848,cc,0.21012747714828073,0.010492031477966294,0.18956347332680623,0.23069148096975522,0
23,5000,5,stress,seqmar,0.2558505160746848,seq,0.2577464845901882,0.011196539543841415,0.2358016703327805,0.27969129884759586,1
24,5000,5,stress,seqmar,0.2558505160746848,full,0.2462399272163685,0.006468843508288812,0.2335612269184967,0.25891862751424033,1
24,5000,5,stress,seqmar,0.2558505160746848,cc,0.2395228383515644,0.012819648635671256,0.2143967887311907,0.2646488879719381,1
24,5000,5,stress,seqmar,0.2558505160746848,seq,0.2570355667760558,0.011824468867632812,0.2338600336591804,0.28021109989293125,1
25,5000,5,stress,seqmar,0.2558505160746848,full,0.2516243772481035,0.006420423896962837,0.23904057764457604,0.26420817685163095,1
25,5000,5,stress,seqmar,0.2558505160746848,cc,0.23608233309653656,0.015589989072818295,0.20552651599443972,0.2666381501986334,1
25,5000,5,stress,seqmar,0.2558505160746848,seq,0.2651472750391699,0.011259743590700687,0.24307858312624087,0.28721596695209894,1
26,5000,5,stress,seqmar,0.2558505160746848,full,0.2684717673275544,0.00612037200832411,0.25647605861925205,0.28046747603585676,0
26,5000,5,stress,seqmar,0.2558505160746848,cc,0.23952816862473272,0.02053860299552669,0.19927324646073394,0.2797830907887315,1
26,5000,5,stress,seqmar,0.2558505160746848,seq,0.28312755805445367,0.013491704023415768,0.25668430407848464,0.3095708120304227,0
27,5000,5,stress,seqmar,0.2558505160746848,full,0.26813418836050185,0.006337004582470244,0.2557138876089949,0.2805544891120088,1
27,5000,5,stress,seqmar,0.2558505160746848,cc,0.24225018093583825,0.011652548577168919,0.21941160539648372,0.2650887564751928,1
27,5000,5,stress,seqmar,0.2558505160746848,seq,0.27749903744390586,0.01156648927400903,0.25482913503927934,0.3001689398485324,1
28,5000,5,stress,seqmar,0.2558505160746848,full,0.2665242047074702,0.006447280785679179,0.2538877665693219,0.2791606428456185,1
28,5000,5,stress,seqmar,0.2558505160746848,cc,0.2686231807269325,0.013353205316974122,0.24245137922749443,0.2947949822263705,1
28,5000,5,stress,seqmar,0.2558505160746848,seq,0.2970503364931669,0.011167471804640302,0.2751624939577054,0.3189381790286284,0
29,5000,5,stress,seqmar,0.2558505160746848,full,0.25291234224857656,0.006493777438976951,0.24018477234456298,0.26563991215259014,1
29,5000,5,stress,seqmar,0.2558505160746848,cc,0.23563502206730236,0.010339173675572626,0.2153706140332754,0.2558994301013293,1
29,5000,5,stress,seqmar,0.2558505160746848,seq,0.2672405320753981,0.0135256049593966,0.24073083348586444,0.2937502306649318,1
30,5000,5,stress,seqmar,0.2558505160746848,full,0.2632410502123571,0.0064718988885577354,0.25055636147919913,0.2759257389455151,1
30,5000,5,stress,seqmar,0.2558505160746848,cc,0.2295189757289013,0.012266002283841901,0.20547805301828512,0.2535598984395175,0
30,5000,5,stress,seqmar,0.2558505160746848,seq,0.24570907721945642,0.017761970931222375,0.2108962538998132,0.28052190053909964,1
31,5000,5,stress,seqmar,0.2558505160746848,full,0.2583860679659769,0.006443837844066334,0.24575637786939067,0.2710157580625632,1
31,5000,5,stress,seqmar,0.2558505160746848,cc,0.2516067766772225,0.011319957033248972,0.22942006858551361,0.27379348476893134,1
31,5000,5,stress,seqmar,0.2558505160746848,seq,0.2813943129226548,0.013848482993584179,0.2542517850147144,0.30853684083059524,1
32,5000,5,stress,seqmar,0.2558505160746848,full,0.2570634947974025,0.006696322810143128,0.2439389432606679,0.27018804633413707,1
32,5000,5,stress,seqmar,0.2558505160746848,cc,0.23780745749822726,0.012619940459424673,0.21307282871071503,0.2625420862857395,1
32,5000,5,stress,seqmar,0.2558505160746848,seq,0.27149772713575593,0.018071783526783625,0.23607768228685577,0.3069177719846561,1
33,5000,5,stress,seqmar,0.2558505160746848,full,0.2607560991805976,0.006804174326787436,0.24742016255556218,0.27409203580563307,1
33,5000,5,stress,seqmar,0.2558505160746848,cc,0.2340744960036948,0.012631186911719886,0.2093178245747301,0.2588311674326595,1
33,5000,5,stress,seqmar,0.2558505160746848,seq,0.25030807991252507,0.013404742561322854,0.2240352672703011,0.27658089255474905,1
34,5000,5,stress,seqmar,0.2558505160746848,full,0.26462912843201114,0.0068360491871763684,0.25123071822860116,0.2780275386354211,1
