replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,stress,ccmar,0.2558505160746848,full,0.2436194199609272,0.010297288057373595,0.22343710623004054,0.26380173369181387,1
1,2500,5,stress,ccmar,0.2558505160746848,cc,0.26195496967706206,0.018196624200439854,0.22629024160398997,0.29761969775013414,1
1,2500,5,stress,ccmar,0.2558505160746848,seq,0.26363424361388027,0.018817414485949587,0.2267527889392568,0.3005156982885038,1
2,2500,5,stress,ccmar,0.2558505160746848,full,0.2619982981161444,0.009141727230903595,0.24408084198708427,0.27991575424520454,1
2,2500,5,stress,ccmar,0.2558505160746848,cc,0.2701055108990698,0.014755071540771778,0.2411861020898452,0.2990249197082944,1
2,2500,5,stress,ccmar,0.2558505160746848,seq,0.27136868026440636,0.015426980451773573,0.2411323541887267,0.301605006340086,1
3,2500,5,stress,ccmar,0.2558505160746848,full,0.2522162874114359,0.009255366407005633,0.23407610258998302,0.27035647223288883,1
3,2500,5,stress,ccmar,0.2558505160746848,cc,0.26037275177473856,0.016228634182169296,0.2285652132594111,0.29218029029006604,1
3,2500,5,stress,ccmar,0.2558505160746848,seq,0.2688776393609104,0.018563556793495323,0.23249373662069572,0.3052615421011251,1
4,2500,5,stress,ccmar,0.2558505160746848,full,0.2648003469830852,0.009696534071897295,0.24579548942730098,0.2838052045388694,1
4,2500,5,stress,ccmar,0.2558505160746848,cc,0.26077256770370866,0.014016660657238798,0.2333004176320011,0.2882447177754162,1
4,2500,5,stress,ccmar,0.2558505160746848,seq,0.26155235281460953,0.014003273432352055,0.23410644122153293,0.28899826440768617,1
5,2500,5,stress,ccmar,0.2558505160746848,full,0.25099432406930167,0.009725849118183917,0.23193201007859054,0.2700566380600128,1
5,2500,5,stress,ccmar,0.2558505160746848,cc,0.23416923154712913,0.014864909108247828,0.20503454506150198,0.26330391803275627,1
5,2500,5,stress,ccmar,0.2558505160746848,seq,0.23346894504085322,0.014682427642301979,0.204691915656326,0.26224597442538045,1
6,2500,5,stress,ccmar,0.2558505160746848,full,0.274492721168034,0.013363916026769456,0.24829992706314827,0.30068551527291976,1
6,2500,5,stress,ccmar,0.2558505160746848,cc,0.2719719008121977,0.016783725861517444,0.23907640259723,0.30486739902716536,1
6,2500,5,stress,ccmar,0.2558505160746848,seq,0.26899351969709595,0.016474131216950183,0.23670481583528657,0.3012822235589053,1
7,2500,5,stress,ccmar,0.2558505160746848,full,0.2629762795766909,0.009801550432640195,0.24376559373606313,0.2821869654173187,1
7,2500,5,stress,ccmar,0.2558505160746848,cc,0.2786147367287022,0.019653246502396696,0.24009508140471686,0.3171343920526875,1
7,2500,5,stress,ccmar,0.2558505160746848,seq,0.2856021297052389,0.01940227032358506,0.24757437865270188,0.32362988075777593,1
8,2500,5,stress,ccmar,0.2558505160746848,full,0.2643892590499691,0.009129783530277588,0.2464952121439781,0.28228330595596013,1
8,2500,5,stress,ccmar,0.2558505160746848,cc,0.28346895447077525,0.016843324833148564,0.25045664441789495,0.31648126452365555,1
8,2500,5,stress,ccmar,0.2558505160746848,seq,0.28200945175439557,0.017470133095457946,0.24776862008217676,0.3162502834266144,1
9,2500,5,stress,ccmar,0.2558505160746848,full,0.24299827641713592,0.008877885185389468,0.22559794119489085,0.260398611639381,1
9,2500,5,stress,ccmar,0.2558505160746848,cc,0.22993432718079956,0.014128486159963758,0.20224300315119798,0.25762565121040115,1
