replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,stress,seqmar,0.2558505160746848,full,0.2626321116979806,0.009039768942183357,0.2449144901427375,0.28034973325322377,1
1,2500,5,stress,seqmar,0.2558505160746848,cc,0.22946528568077537,0.01687179112418736,0.19639718272268558,0.26253338863886516,1
1,2500,5,stress,seqmar,0.2558505160746848,seq,0.2540714190919675,0.014614553284385046,0.22542742100443125,0.28271541717950377,1
2,2500,5,stress,seqmar,0.2558505160746848,full,0.24457869472636398,0.010408564984111836,0.22417828222676006,0.2649791072259679,1
2,2500,5,stress,seqmar,0.2558505160746848,cc,0.20736983038593462,0.019008668007959896,0.1701135256962545,0.24462613507561476,0
2,2500,5,stress,seqmar,0.2558505160746848,seq,0.27951648456022976,0.031550833327487544,0.21767798755612813,0.34135498156433136,1
3,2500,5,stress,seqmar,0.2558505160746848,full,0.26798622097196795,0.008880505646829538,0.2505807497396775,0.2853916922042584,1
3,2500,5,stress,seqmar,0.2558505160746848,cc,0.23998550426794335,0.01323142179795415,0.214052394079695,0.2659186144561917,1
3,2500,5,stress,seqmar,0.2558505160746848,seq,0.2650785903393502,0.012181759944765074,0.24120277957929803,0.2889544010994024,1
4,2500,5,stress,seqmar,0.2558505160746848,full,0.25918223064809565,0.010586594339538213,0.23843288702366516,0.27993157427252613,1
4,2500,5,stress,seqmar,0.2558505160746848,cc,0.23317541326476326,0.012882423714116319,0.20792632675151057,0.25842449977801596,1
4,2500,5,stress,seqmar,0.2558505160746848,seq,0.25828331263508425,0.015885201091255772,0.22714889060904658,0.2894177346611219,1
5,2500,5,stress,seqmar,0.2558505160746848,full,0.23794715496903174,0.009430585027237502,0.21946354796250356,0.2564307619755599,1
5,2500,5,stress,seqmar,0.2558505160746848,cc,0.1898648248045645,0.014999537893584212,0.16046627074839567,0.21926337886073335,0
5,2500,5,stress,seqmar,0.2558505160746848,seq,0.25416398824408803,0.021690346733057295,0.2116516898351097,0.29667628665306633,1
6,2500,5,stress,seqmar,0.2558505160746848,full,0.26124924102767877,0.008945347769128588,0.24371668157100101,0.2787818004843565,1
6,2500,5,stress,seqmar,0.2558505160746848,cc,0.21422930605160045,0.013837522239200038,0.18710826082749635,0.24135035127570456,0
6,2500,5,stress,seqmar,0.2558505160746848,seq,0.24521593064056788,0.012246430549196951,0.22121336782497078,0.269218493456165,1
7,2500,5,stress,seqmar,0.2558505160746848,full,0.25791116019125354,0.0093852011398931,0.2395165039693988,0.27630581641310825,1
7,2500,5,stress,seqmar,0.2558505160746848,cc,0.21040187212475886,0.013357663756014855,0.1842213322453737,0.236582412004144,0
7,2500,5,stress,seqmar,0.2558505160746848,seq,0.24376505374483604,0.012991278228820752,0.21830261630320805,0.269227491186464,1
8,2500,5,stress,seqmar,0.2558505160746848,full,0.248946873414103,0.009227796631496664,0.2308607243597095,0.2670330224684965,1
8,2500,5,stress,seqmar,0.2558505160746848,cc,0.20214956015460056,0.013896331150195632,0.17491325158297505,0.22938586872622607,0
8,2500,5,stress,seqmar,0.2558505160746848,seq,0.24251150650603176,0.013103582223210642,0.21682895728007961,0.2681940557319839,1
9,2500,5,stress,seqmar,0.2558505160746848,full,0.25753381912084833,0.011216774459999695,0.23554934515654022,0.27951829308515647,1
9,2500,5,stress,seqmar,0.2558505160746848,cc,0.20166524172080516,0.025899453477597666,0.15090324568544308,0.25242723775616727,0
9,2500,5,stress,seqmar,0.2558505160746848,seq,0.24917381827358717,0.023022623865622996,0.2040503046673538,0.29429733187982055,1
10,2500,5,stress,seqmar,0.2558505160746848,full,0.2566905553386876,0.02077681180027151,0.21596875249658865,0.2974123581807866,1
10,2500,5,stress,seqmar,0.2558505160746848,cc,0.2086454684161732,0.016425298781076802,0.17645247436995304,0.24083846246239338,0
10,2500,5,stress,seqmar,0.2558505160746848,seq,0.24502202266603962,0.013864841434144286,0.21784743280375815,0.2721966125283211,1
11,2500,5,stress,seqmar,0.2558505160746848,full,0.2698571343289878,0.011346539043299138,0.24761832645494392,0.29209594220303164,1
11,2500,5,stress,seqmar,0.2558505160746848,cc,0.22785625082030664,0.014636982779143697,0.19916829173085202,0.2565442099097613,1
11,2500,5,stress,seqmar,0.2558505160746848,seq,0.2780866992919734,0.023567884434169878,0.23189449460919828,0.3242789039747485,1
12,2500,5,stress,seqmar,0.2558505160746848,full,0.25215677402081993,0.009065035398102928,0.2343896311219575,0.26992391691968237,1
