replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,stress,ccmar,0.2558505160746848,full,0.2474918318231617,0.00903691950300423,0.2297797950660858,0.2652038685802376,1
1,2500,5,stress,ccmar,0.2558505160746848,cc,0.3079852299136709,0.045045563826041024,0.21969754715133022,0.39627291267601156,1
1,2500,5,stress,ccmar,0.2558505160746848,seq,0.3114395458832333,0.04527631812602875,0.2226995930036389,0.4001794987628277,1
2,2500,5,stress,ccmar,0.2558505160746848,full,0.2610865080956455,0.008584843550087986,0.24426052392456205,0.2779124922667289,1
2,2500,5,stress,ccmar,0.2558505160746848,cc,0.307007971333877,0.02538610215415588,0.2572521254038768,0.35676381726387724,0
2,2500,5,stress,ccmar,0.2558505160746848,seq,0.30828304495350184,0.02544448550449345,0.2584127697595432,0.3581533201474605,0
3,2500,5,stress,ccmar,0.2558505160746848,full,0.24579694238757074,0.009255759190884252,0.22765598772386203,0.26393789705127946,1
3,2500,5,stress,ccmar,0.2558505160746848,cc,0.2874792863559387,0.017336279132106235,0.2535008036310772,0.32145776908080026,1
3,2500,5,stress,ccmar,0.2558505160746848,seq,0.29607611536381856,0.01635862322367296,0.26401380300875904,0.3281384277188781,0
4,2500,5,stress,ccmar,0.2558505160746848,full,0.2715117774280281,0.00900724137499499,0.2538579087329789,0.2891656461230773,1
4,2500,5,stress,ccmar,0.2558505160746848,cc,0.23711583392565871,0.0238256965595355,0.19041832676238926,0.2838133410889282,1
4,2500,5,stress,ccmar,0.2558505160746848,seq,0.23855806331712584,0.023551772805737326,0.19239743684581082,0.28471868978844084,1
5,2500,5,stress,ccmar,0.2558505160746848,full,0.23493533316491552,0.009935348090850426,0.2154624087329799,0.25440825759685115,0
5,2500,5,stress,ccmar,0.2558505160746848,cc,0.25168763050621645,0.026307691084139374,0.2001255034648978,0.30324975754753514,1
5,2500,5,stress,ccmar,0.2558505160746848,seq,0.24692281696867244,0.02625520148115336,0.19546356765876916,0.2983820662785757,1
6,2500,5,stress,ccmar,0.2558505160746848,full,0.2628010359662023,0.010052986298228539,0.24309754488459973,0.2825045270478049,1
6,2500,5,stress,ccmar,0.2558505160746848,cc,0.22294354866011837,0.046632050365695135,0.13154640941809803,0.3143406879021387,1
6,2500,5,stress,ccmar,0.2558505160746848,seq,0.22050282974980406,0.046427250393068234,0.12950709107816727,0.31149856842144086,1
7,2500,5,stress,ccmar,0.2558505160746848,full,0.26416973316246595,0.009332425635337932,0.24587851502880526,0.28246095129612664,1
7,2500,5,stress,ccmar,0.2558505160746848,cc,0.2313398051272543,0.016466034658284688,0.19906697022882802,0.2636126400256806,1
7,2500,5,stress,ccmar,0.2558505160746848,seq,0.23134551701948303,0.01592034094036869,0.20014222215476185,0.2625488118842042,1
8,2500,5,stress,ccmar,0.2558505160746848,full,0.2566999000418064,0.009071149148455672,0.23892077441244208,0.27447902567117066,1
8,2500,5,stress,ccmar,0.2558505160746848,cc,0.25394047537747466,0.02528570263421581,0.20438140889062212,0.3034995418643272,1
8,2500,5,stress,ccmar,0.2558505160746848,seq,0.2545800115510835,0.025328238404674065,0.2049375764860781,0.3042224466160889,1
9,2500,5,stress,ccmar,0.2558505160746848,full,0.26277877561934504,0.009136497005796938,0.244871570543125,0.28068598069556505,1
9,2500,5,stress,ccmar,0.2558505160746848,cc,0.2514193402013455,0.024889566234373925,0.20263668679114838,0.3002019936115426,1
9,2500,5,stress,ccmar,0.2558505160746848,seq,0.25016434254394354,0.025135152420488818,0.2009003490538607,0.2994283360340264,1
10,2500,5,stress,ccmar,0.2558505160746848,full,0.2542451674218158,0.008943389911685336,0.23671644529521368,0.2717738895484179,1
10,2500,5,stress,ccmar,0.2558505160746848,cc,0.2693421191020915,0.018476493542861752,0.2331288571974956,0.3055553810066874,1
10,2500,5,stress,ccmar,0.2558505160746848,seq,0.26205232732983197,0.018266980108160902,0.22624970421152701,0.2978549504481369,1
11,2500,5,stress,ccmar,0.2558505160746848,full,0.2612742751455311,0.01076444052453901,0.24017635940371118,0.282372190887351,1
11,2500,5,stress,ccmar,0.2558505160746848,cc,0.2665632050205491,0.017891566342154608,0.23149637936291703,0.30163003067818117,1
11,2500,5,stress,ccmar,0.2558505160746848,seq,0.27497425559473887,0.017593645149203904,0.2404913447455214,0.3094571664439564,1
12,2500,5,stress,ccmar,0.2558505160746848,full,0.2703134185462217,0.010390472627220709,0.24994846641451984,0.29067837067792357,1
12,2500,5,stress,ccmar,0.2558505160746848,cc,0.24442606543063572,0.025807522449187045,0.1938442509000202,0.2950078799612513,1
12,2500,5,stress,ccmar,0.2558505160746848,seq,0.24453346403795964,0.025434092092690038,0.19468355955681219,0.29438336851910707,1
13,2500,5,stress,ccmar,0.2558505160746848,full,0.2689494484536457,0.008951989054442595,0.25140387231694145,0.28649502459035,1
