replicate,n,folds,design,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,5,stress,seqmar,0.2558505160746848,full,0.26672376658333624,0.009210712104714577,0.24867110258612857,0.2847764305805439,1
1,2500,5,stress,seqmar,0.2558505160746848,cc,0.2384661444421118,0.02119208656435905,0.19693041801871292,0.2800018708655107,1
1,2500,5,stress,seqmar,0.2558505160746848,seq,0.266912162146179,0.019240919354588246,0.2292006531817464,0.3046236711106116,1
2,2500,5,stress,seqmar,0.2558505160746848,full,0.24456216430730515,0.009776116740405677,0.2254013275874509,0.2637230010271594,1
2,2500,5,stress,seqmar,0.2558505160746848,cc,0.22590272407060366,0.025827817949775903,0.17528113108978577,0.27652431705142155,1
2,2500,5,stress,seqmar,0.2558505160746848,seq,0.2898444381974019,0.03586040639824597,0.2195593331858701,0.36012954320893376,1
3,2500,5,stress,seqmar,0.2558505160746848,full,0.2818232093286297,0.01441805861526109,0.2535643337157305,0.3100820849415289,1
3,2500,5,stress,seqmar,0.2558505160746848,cc,0.30672054171067603,0.06219031341884051,0.18482976722249062,0.42861131619886145,1
3,2500,5,stress,seqmar,0.2558505160746848,seq,0.29960775489464,0.03596641382552104,0.22911487914355527,0.3701006306457247,1
4,2500,5,stress,seqmar,0.2558505160746848,full,0.2623231571167428,0.008746490900550373,0.24518034996055676,0.27946596427292886,1
4,2500,5,stress,seqmar,0.2558505160746848,cc,0.19637091043786786,0.01849927509763493,0.1601129975064047,0.23262882336933102,0
4,2500,5,stress,seqmar,0.2558505160746848,seq,0.24958211456376367,0.02175976063628069,0.20693376740444114,0.2922304617230862,1
5,2500,5,stress,seqmar,0.2558505160746848,full,0.22772514504203364,0.011126423251886815,0.20591775619158645,0.24953253389248084,0
5,2500,5,stress,seqmar,0.2558505160746848,cc,0.1986935358074291,0.020596907211652447,0.158324339479677,0.2390627321351812,0
5,2500,5,stress,seqmar,0.2558505160746848,seq,0.27210806251861697,0.034560649876145974,0.2043704334790722,0.33984569155816174,1
6,2500,5,stress,seqmar,0.2558505160746848,full,0.25902342131410416,0.008849010441179563,0.24167967955057332,0.276367163077635,1
6,2500,5,stress,seqmar,0.2558505160746848,cc,0.2068461613928297,0.013414081350575474,0.18055504506001138,0.23313727772564805,0
6,2500,5,stress,seqmar,0.2558505160746848,seq,0.24177937086734955,0.019364780606649774,0.20382509830979628,0.2797336434249028,1
7,2500,5,stress,seqmar,0.2558505160746848,full,0.2527405726257606,0.010288919205969077,0.23257466154221876,0.2729064837093024,1
7,2500,5,stress,seqmar,0.2558505160746848,cc,0.23618770091688543,0.020573153224882446,0.19586506154769176,0.27651034028607907,1
7,2500,5,stress,seqmar,0.2558505160746848,seq,0.2995872007140662,0.03955149254873033,0.22206769978375043,0.377106701644382,1
8,2500,5,stress,seqmar,0.2558505160746848,full,0.23599651090258886,0.008827263979613042,0.21869539142051958,0.25329763038465813,0
8,2500,5,stress,seqmar,0.2558505160746848,cc,0.18818348996661413,0.013696276315213626,0.16133928166648648,0.21502769826674178,0
8,2500,5,stress,seqmar,0.2558505160746848,seq,0.2243859434058828,0.01601896051034878,0.19298935773582984,0.2557825290759358,0
9,2500,5,stress,seqmar,0.2558505160746848,full,0.2572803619913653,0.009428511458541152,0.23880081910480142,0.2757599048779292,1
9,2500,5,stress,seqmar,0.2558505160746848,cc,0.22631491958540445,0.034379021988233484,0.1589332746647562,0.2936965645060527,1
9,2500,5,stress,seqmar,0.2558505160746848,seq,0.2582646638999543,0.0264231341233554,0.20647627265950635,0.3100530551404022,1
10,2500,5,stress,seqmar,0.2558505160746848,full,0.24184988143417457,0.00905438547326671,0.22410361200442916,0.25959615086391996,1
10,2500,5,stress,seqmar,0.2558505160746848,cc,0.2110114966607991,0.019817310850665782,0.17217028112305935,0.24985271219853886,0
10,2500,5,stress,seqmar,0.2558505160746848,seq,0.2347179062033575,0.024967596559031083,0.1857823161671304,0.2836534962395846,1
11,2500,5,stress,seqmar,0.2558505160746848,full,0.2727394229072133,0.009893443022767026,0.25334863089949083,0.2921302149149358,1
11,2500,5,stress,seqmar,0.2558505160746848,cc,0.2463034183009271,0.038993218945214334,0.1698781135270221,0.32272872307483214,1
11,2500,5,stress,seqmar,0.2558505160746848,seq,0.269079895504704,0.027584043779371913,0.21501616314915895,0.3231436278602491,1
12,2500,5,stress,seqmar,0.2558505160746848,full,0.25104225401320346,0.00866288299524382,0.2340633153402411,0.2680211926861658,1
12,2500,5,stress,seqmar,0.2558505160746848,cc,0.20864024637665035,0.016146205063574916,0.17699426596504525,0.24028622678825545,0
12,2500,5,stress,seqmar,0.2558505160746848,seq,0.25717559875839396,0.013942788079272966,0.22984823627894455,0.28450296123784335,1
13,2500,5,stress,seqmar,0.2558505160746848,full,0.26459301729751816,0.008814839857875763,0.2473162486465935,0.2818697859484428,1
