replicate,n,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,ccmar,0.2558505160746848,full,0.2641893538891112,0.013681493672263711,0.23737411903676167,0.29100458874146073,1
1,2500,ccmar,0.2558505160746848,cc,0.26852999328044735,0.02630115538709596,0.21698067596994763,0.3200793105909471,1
1,2500,ccmar,0.2558505160746848,cc_ccproj,0.2685299932804474,0.026301155387095928,0.21698067596994777,0.3200793105909471,1
1,2500,ccmar,0.2558505160746848,seq,0.26641708694261673,0.025158338809972938,0.21710764896421347,0.31572652492102,1
2,2500,ccmar,0.2558505160746848,full,0.2511625805113823,0.010411714485954288,0.23075599510159792,0.27156916592116664,1
2,2500,ccmar,0.2558505160746848,cc,0.26022402934989747,0.013964012604761657,0.23285506756490126,0.28759299113489367,1
2,2500,ccmar,0.2558505160746848,cc_ccproj,0.2602240293498974,0.013964012604761662,0.2328550675649012,0.2875929911348936,1
2,2500,ccmar,0.2558505160746848,seq,0.26025951977280515,0.013795934253270237,0.233219985503313,0.2872990540422973,1
3,2500,ccmar,0.2558505160746848,full,0.24760716365854232,0.009941308132006901,0.22812255776059365,0.267091769556491,1
3,2500,ccmar,0.2558505160746848,cc,0.24371958418179146,0.014597107084903766,0.21510978001690562,0.2723293883466773,1
3,2500,ccmar,0.2558505160746848,cc_ccproj,0.24371958418179138,0.01459710708490376,0.21510978001690556,0.2723293883466772,1
3,2500,ccmar,0.2558505160746848,seq,0.23961747199920397,0.014161604704492958,0.21186123681510477,0.26737370718330317,1
4,2500,ccmar,0.2558505160746848,full,0.25174815830099584,0.009811683742972453,0.23251761153707268,0.270978705064919,1
4,2500,ccmar,0.2558505160746848,cc,0.2457414215801191,0.013134950306416733,0.21999739204081897,0.27148545111941924,1
4,2500,ccmar,0.2558505160746848,cc_ccproj,0.2457414215801191,0.01313495030641672,0.219997392040819,0.27148545111941924,1
4,2500,ccmar,0.2558505160746848,seq,0.24250738521531184,0.012769250129389087,0.21748011485212582,0.26753465557849787,1
5,2500,ccmar,0.2558505160746848,full,0.2408560290847,0.010913659534563325,0.2194656494574237,0.2622464087119763,1
5,2500,ccmar,0.2558505160746848,cc,0.2370880866701348,0.014886425478808979,0.2079112288731298,0.26626494446713983,1
5,2500,ccmar,0.2558505160746848,cc_ccproj,0.23708808667013487,0.014886425478808975,0.20791122887312985,0.2662649444671399,1
5,2500,ccmar,0.2558505160746848,seq,0.24478609673443238,0.014230842736227852,0.21689415750177235,0.2726780359670924,1
6,2500,ccmar,0.2558505160746848,full,0.24915433237690085,0.010804332117508903,0.22797823054957403,0.2703304342042277,1
6,2500,ccmar,0.2558505160746848,cc,0.24162633083572427,0.02360658577607322,0.19535827291666524,0.2878943887547833,1
6,2500,ccmar,0.2558505160746848,cc_ccproj,0.24162633083572418,0.023606585776073222,0.19535827291666513,0.28789438875478324,1
6,2500,ccmar,0.2558505160746848,seq,0.24081425252461353,0.02379791262394828,0.1941712008744438,0.28745730417478327,1
7,2500,ccmar,0.2558505160746848,full,0.25700483185266226,0.00970179774133777,0.23798965769434818,0.2760200060109763,1
7,2500,ccmar,0.2558505160746848,cc,0.2807266674755247,0.01681150005322695,0.2477767328451067,0.3136766021059427,1
7,2500,ccmar,0.2558505160746848,cc_ccproj,0.2807266674755248,0.016811500053226965,0.24777673284510676,0.3136766021059429,1
7,2500,ccmar,0.2558505160746848,seq,0.27834542868945467,0.016340723306029026,0.2463181995283035,0.31037265785060586,1
8,2500,ccmar,0.2558505160746848,full,0.25628112497116795,0.011175810060237646,0.23437693975504176,0.27818531018729414,1
8,2500,ccmar,0.2558505160746848,cc,0.272960570766926,0.015899727351171254,0.24179767779462388,0.30412346373922805,1
8,2500,ccmar,0.2558505160746848,cc_ccproj,0.2729605707669261,0.01589972735117126,0.241797677794624,0.3041234637392282,1
8,2500,ccmar,0.2558505160746848,seq,0.2679212572194513,0.015511648525687777,0.23751898476825944,0.2983235296706432,1
9,2500,ccmar,0.2558505160746848,full,0.26888153325143704,0.00926656269042783,0.2507194041177159,0.28704366238515816,1
9,2500,ccmar,0.2558505160746848,cc,0.268703585506022,0.011878077767532365,0.24542298087609266,0.2919841901359514,1
9,2500,ccmar,0.2558505160746848,cc_ccproj,0.2687035855060221,0.011878077767532367,0.2454229808760927,0.29198419013595145,1
9,2500,ccmar,0.2558505160746848,seq,0.2716091727940087,0.011413728068718133,0.24923867684998724,0.29397966873803016,1
10,2500,ccmar,0.2558505160746848,full,0.2480881634461918,0.009614417781196753,0.22924425086272468,0.26693207602965896,1
10,2500,ccmar,0.2558505160746848,cc,0.25280472055359904,0.012364239531070697,0.22857125637647407,0.277038184730724,1
10,2500,ccmar,0.2558505160746848,cc_ccproj,0.2528047205535988,0.012364239531070697,0.22857125637647385,0.2770381847307238,1
10,2500,ccmar,0.2558505160746848,seq,0.2451251284103144,0.01225738685850957,0.22110109162306107,0.2691491651975677,1
11,2500,ccmar,0.2558505160746848,full,0.25763848175980986,0.009327108688765321,0.23935768464993923,0.2759192788696805,1
11,2500,ccmar,0.2558505160746848,cc,0.22582193922604102,0.014181900251652441,0.19802592550046272,0.2536179529516193,0
11,2500,ccmar,0.2558505160746848,cc_ccproj,0.22582193922604094,0.014181900251652451,0.1980259255004626,0.25361795295161926,0
11,2500,ccmar,0.2558505160746848,seq,0.22569452562356845,0.013936363732065488,0.19837975463326987,0.253009296613867,0
12,2500,ccmar,0.2558505160746848,full,0.2524320388177307,0.011241809296542055,0.2303984974754407,0.27446558016002065,1
12,2500,ccmar,0.2558505160746848,cc,0.2670736787358375,0.024264183406736792,0.21951675314435898,0.314630604327316,1
12,2500,ccmar,0.2558505160746848,cc_ccproj,0.2670736787358377,0.024264183406736792,0.2195167531443592,0.3146306043273162,1
12,2500,ccmar,0.2558505160746848,seq,0.269064486684476,0.024179834175587035,0.2216728825481747,0.31645609082077736,1
13,2500,ccmar,0.2558505160746848,full,0.2527752837492756,0.009787297482790672,0.23359253317702636,0.2719580343215249,1
13,2500,ccmar,0.2558505160746848,cc,0.24738975821376671,0.013395168377247767,0.22113571062751125,0.2736438058000222,1
13,2500,ccmar,0.2558505160746848,cc_ccproj,0.24738975821376663,0.013395168377247767,0.22113571062751117,0.2736438058000221,1
13,2500,ccmar,0.2558505160746848,seq,0.2490024821010138,0.013199694200519222,0.2231315568610539,0.2748734073409737,1
14,2500,ccmar,0.2558505160746848,full,0.2525440761673158,0.010466214939639309,0.23203067183116768,0.2730574805034639,1
14,2500,ccmar,0.2558505160746848,cc,0.22900732791761494,0.01938868388616644,0.19100620579309663,0.26700845004213325,1
14,2500,ccmar,0.2558505160746848,cc_ccproj,0.22900732791761502,0.01938868388616644,0.1910062057930967,0.26700845004213336,1
14,2500,ccmar,0.2558505160746848,seq,0.2291959705822122,0.018680453981129694,0.19258295356434013,0.26580898760008426,1
15,2500,ccmar,0.2558505160746848,full,0.25174208543784915,0.008441743853575366,0.23519657151812906,0.26828759935756924,1
15,2500,ccmar,0.2558505160746848,cc,0.23770195697334376,0.009280442631114055,0.21951262365577007,0.25589129029091745,1
15,2500,ccmar,0.2558505160746848,cc_ccproj,0.23770195697334365,0.009280442631114055,0.21951262365576996,0.25589129029091734,1
15,2500,ccmar,0.2558505160746848,seq,0.23403654829305587,0.008968685232576497,0.2164582482485297,0.251614848337582,0
16,2500,ccmar,0.2558505160746848,full,0.2554971399385107,0.009656655541150793,0.236570442866746,0.2744238370102754,1
16,2500,ccmar,0.2558505160746848,cc,0.2692268487181541,0.02441704599360767,0.22137031796182505,0.3170833794744832,1
16,2500,ccmar,0.2558505160746848,cc_ccproj,0.26922684871815417,0.02441704599360767,0.2213703179618251,0.31708337947448323,1
16,2500,ccmar,0.2558505160746848,seq,0.27056564687768464,0.024274627123893864,0.22298825197671354,0.3181430417786557,1
17,2500,ccmar,0.2558505160746848,full,0.2722023436427142,0.00989322707567814,0.2528119748835085,0.29159271240191986,1
17,2500,ccmar,0.2558505160746848,cc,0.2625443665930947,0.017498467482570786,0.2282480005426107,0.29684073264357874,1
17,2500,ccmar,0.2558505160746848,cc_ccproj,0.2625443665930946,0.017498467482570793,0.22824800054261057,0.29684073264357863,1
17,2500,ccmar,0.2558505160746848,seq,0.2625949828675757,0.017229139056617448,0.2288264908319731,0.2963634749031783,1
18,2500,ccmar,0.2558505160746848,full,0.2471005308262294,0.009727208997187084,0.22803555152164873,0.2661655101308101,1
18,2500,ccmar,0.2558505160746848,cc,0.2524402200211859,0.014671308329297361,0.22368498408968054,0.28119545595269124,1
18,2500,ccmar,0.2558505160746848,cc_ccproj,0.2524402200211857,0.01467130832929737,0.22368498408968035,0.2811954559526911,1
18,2500,ccmar,0.2558505160746848,seq,0.25796103715679003,0.01421849244821225,0.2300933040438393,0.2858287702697408,1
19,2500,ccmar,0.2558505160746848,full,0.24557899301709613,0.01333073307552089,0.2194512363015583,0.2717067497326339,1
19,2500,ccmar,0.2558505160746848,cc,0.24897046287390423,0.01385287232595376,0.22181933203260326,0.2761215937152052,1
19,2500,ccmar,0.2558505160746848,cc_ccproj,0.2489704628739043,0.013852872325953756,0.22181933203260334,0.2761215937152053,1
19,2500,ccmar,0.2558505160746848,seq,0.25160877171791235,0.01344100673734896,0.22526488259674818,0.27795266083907655,1
20,2500,ccmar,0.2558505160746848,full,0.24593605277176783,0.009983326509552984,0.22636909236714,0.26550301317639563,1
20,2500,ccmar,0.2558505160746848,cc,0.23499548188948333,0.01411900396981355,0.20732274261107073,0.26266822116789595,1
20,2500,ccmar,0.2558505160746848,cc_ccproj,0.23499548188948358,0.014119003969813535,0.207322742611071,0.2626682211678962,1
20,2500,ccmar,0.2558505160746848,seq,0.23816892286860267,0.013240591445858334,0.2122178405007112,0.26412000523649415,1
21,2500,ccmar,0.2558505160746848,full,0.23503537035409744,0.02112325957150502,0.19363454235785663,0.2764361983503383,1
21,2500,ccmar,0.2558505160746848,cc,0.2524165761368271,0.016987548973232278,0.21912159196368147,0.28571156030997275,1
21,2500,ccmar,0.2558505160746848,cc_ccproj,0.2524165761368272,0.016987548973232278,0.21912159196368158,0.28571156030997286,1
21,2500,ccmar,0.2558505160746848,seq,0.251904304934613,0.016379739263379788,0.219800605902232,0.28400800396699405,1
22,2500,ccmar,0.2558505160746848,full,0.27191183738025304,0.012312414241772476,0.24777994890364094,0.2960437258568651,1
22,2500,ccmar,0.2558505160746848,cc,0.3195879028064468,0.0355330426219965,0.24994441900620695,0.3892313866066866,1
22,2500,ccmar,0.2558505160746848,cc_ccproj,0.3195879028064467,0.0355330426219965,0.2499444190062069,0.38923138660668655,1
