replicate,n,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,seqmar,0.2558505160746848,full,0.2664593499094809,0.013542981490491008,0.23991559394482592,0.29300310587413586,1
1,2500,seqmar,0.2558505160746848,cc,0.2202287583592184,0.02136689245914322,0.17835041867775722,0.26210709804067955,1
1,2500,seqmar,0.2558505160746848,cc_ccproj,0.2200512699286086,0.020935177589535368,0.17901907584316923,0.261083464014048,1
1,2500,seqmar,0.2558505160746848,seq,0.24980357483205406,0.01455895436916656,0.22126854861592554,0.2783386010481826,1
2,2500,seqmar,0.2558505160746848,full,0.26036478899539256,0.00931615748365754,0.2421054558531205,0.27862412213766463,1
2,2500,seqmar,0.2558505160746848,cc,0.23526881465212326,0.013663277883735319,0.2084892820892394,0.26204834721500714,1
2,2500,seqmar,0.2558505160746848,cc_ccproj,0.23706035577808957,0.013577952685369252,0.21044805753097692,0.26367265402520224,1
2,2500,seqmar,0.2558505160746848,seq,0.268013137744123,0.01285458695239775,0.2428186102812849,0.29320766520696107,1
3,2500,seqmar,0.2558505160746848,full,0.25368817379382236,0.009020411949057044,0.2360084912479558,0.2713678563396889,1
3,2500,seqmar,0.2558505160746848,cc,0.22867251200208383,0.015380219781082817,0.198527835156851,0.25881718884731664,1
3,2500,seqmar,0.2558505160746848,cc_ccproj,0.22863061049465028,0.015473775259374552,0.19830256828140921,0.2589586527078913,1
3,2500,seqmar,0.2558505160746848,seq,0.2650134726783119,0.0177656363639765,0.23019346524248283,0.29983348011414096,1
4,2500,seqmar,0.2558505160746848,full,0.25597523301956865,0.008946229686666104,0.23844094503628002,0.27350952100285725,1
4,2500,seqmar,0.2558505160746848,cc,0.23183823360942885,0.01456099830185084,0.20329920135885232,0.26037726586000537,1
4,2500,seqmar,0.2558505160746848,cc_ccproj,0.23106003714208115,0.014451873387638004,0.2027348857931778,0.2593851884909845,1
4,2500,seqmar,0.2558505160746848,seq,0.2792531483497284,0.020062879276219806,0.23993062754216257,0.3185756691572943,1
5,2500,seqmar,0.2558505160746848,full,0.26417481094450995,0.013133570008330814,0.23843348673974613,0.2899161351492738,1
5,2500,seqmar,0.2558505160746848,cc,0.2210952377605472,0.027520199865207196,0.16715663717739704,0.2750338383436974,1
5,2500,seqmar,0.2558505160746848,cc_ccproj,0.22397034821276338,0.02715751619249217,0.1707425945659154,0.27719810185961136,1
5,2500,seqmar,0.2558505160746848,seq,0.27935079596018353,0.021301719353982392,0.2376001932175982,0.3211013987027688,1
6,2500,seqmar,0.2558505160746848,full,0.26570315246727705,0.009595032743938857,0.24689723385867435,0.28450907107587975,1
6,2500,seqmar,0.2558505160746848,cc,0.233874950319568,0.015788727751245644,0.20292961256541847,0.26482028807371755,1
6,2500,seqmar,0.2558505160746848,cc_ccproj,0.23085780337778397,0.01578255970585877,0.1999245547704477,0.2617910519851202,1
6,2500,seqmar,0.2558505160746848,seq,0.29353030961367976,0.026200259247180564,0.24217874510359336,0.3448818741237662,1
7,2500,seqmar,0.2558505160746848,full,0.263345741507918,0.009804622001920733,0.24412903550212436,0.2825624475137116,1
7,2500,seqmar,0.2558505160746848,cc,0.20946293539381577,0.017292655219662348,0.175569953966209,0.24335591682142255,0
7,2500,seqmar,0.2558505160746848,cc_ccproj,0.20921943809685117,0.017109068573754244,0.1756862798832668,0.24275259631043555,0
7,2500,seqmar,0.2558505160746848,seq,0.22611686462457237,0.032096857636415274,0.16320817964028903,0.28902554960885574,1
8,2500,seqmar,0.2558505160746848,full,0.2488352903343158,0.009600072547714854,0.23001949389182302,0.2676510867768086,1
8,2500,seqmar,0.2558505160746848,cc,0.20224675150110377,0.016958112056659258,0.16900946262425715,0.2354840403779504,0
