replicate,n,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,ccmar,0.2558505160746848,full,0.257342113632973,0.008929196858712723,0.23984120937902786,0.2748430178869181,1
1,2500,ccmar,0.2558505160746848,cc,0.2587608552427545,0.010497404366557772,0.23818632075314777,0.2793353897323612,1
1,2500,ccmar,0.2558505160746848,cc_ccproj,0.2587608552427545,0.010497404366557774,0.23818632075314777,0.2793353897323612,1
1,2500,ccmar,0.2558505160746848,seq,0.25918705083732985,0.010336258988059501,0.2389283554858548,0.2794457461888049,1
2,2500,ccmar,0.2558505160746848,full,0.24565709000726638,0.009955605155152121,0.22614446245886693,0.2651697175556658,1
2,2500,ccmar,0.2558505160746848,cc,0.24346110907822727,0.012053306638643126,0.2198370621718692,0.2670851559845853,1
2,2500,ccmar,0.2558505160746848,cc_ccproj,0.24346110907822732,0.012053306638643124,0.21983706217186927,0.2670851559845854,1
2,2500,ccmar,0.2558505160746848,seq,0.24432706136669913,0.01193042194754292,0.22094386402914878,0.26771025870424947,1
3,2500,ccmar,0.2558505160746848,full,0.2540261546132035,0.009818954980777964,0.2347813564850585,0.2732709527413485,1
3,2500,ccmar,0.2558505160746848,cc,0.24943550488518126,0.012142344351569103,0.22563694726822248,0.27323406250214005,1
3,2500,ccmar,0.2558505160746848,cc_ccproj,0.24943550488518135,0.012142344351569105,0.22563694726822253,0.27323406250214016,1
3,2500,ccmar,0.2558505160746848,seq,0.252390132616336,0.011976712917318397,0.22891620664521634,0.2758640585874557,1
4,2500,ccmar,0.2558505160746848,full,0.24958189526320074,0.009565214168337943,0.23083441998884613,0.26832937053755535,1
4,2500,ccmar,0.2558505160746848,cc,0.24960118467524658,0.013487468923312857,0.22316623134295016,0.276036138007543,1
4,2500,ccmar,0.2558505160746848,cc_ccproj,0.24960118467524658,0.013487468923312856,0.22316623134295016,0.276036138007543,1
4,2500,ccmar,0.2558505160746848,seq,0.24720166589001466,0.013025357320214806,0.2216724346566285,0.2727308971234008,1
5,2500,ccmar,0.2558505160746848,full,0.2617101029328693,0.00908018376039945,0.24391326978948089,0.2795069360762577,1
5,2500,ccmar,0.2558505160746848,cc,0.25170938423781886,0.01174695288875855,0.22868577964776335,0.27473298882787434,1
5,2500,ccmar,0.2558505160746848,cc_ccproj,0.25170938423781886,0.011746952888758551,0.22868577964776335,0.27473298882787434,1
5,2500,ccmar,0.2558505160746848,seq,0.2521440439552547,0.011528174783136573,0.22954923657282417,0.2747388513376852,1
6,2500,ccmar,0.2558505160746848,full,0.24331213704327284,0.011208849454755658,0.22134319580382034,0.26528107828272535,1
6,2500,ccmar,0.2558505160746848,cc,0.23282314901682222,0.011455380222962814,0.21037101635060268,0.25527528168304175,0
6,2500,ccmar,0.2558505160746848,cc_ccproj,0.23282314901682222,0.011455380222962814,0.21037101635060268,0.25527528168304175,0
6,2500,ccmar,0.2558505160746848,seq,0.2345474356571288,0.011175494814003656,0.21264386831226748,0.2564510030019901,1
7,2500,ccmar,0.2558505160746848,full,0.27146591175889034,0.010127747410416508,0.2516158915899552,0.2913159319278255,1
7,2500,ccmar,0.2558505160746848,cc,0.2693003135110751,0.012128019554259748,0.24552983198092845,0.2930707950412217,1
7,2500,ccmar,0.2558505160746848,cc_ccproj,0.2693003135110751,0.012128019554259748,0.24552983198092845,0.2930707950412217,1
7,2500,ccmar,0.2558505160746848,seq,0.2713344862688478,0.012054926491146662,0.24770726450992256,0.2949617080277731,1
8,2500,ccmar,0.2558505160746848,full,0.26952714642987996,0.010811747660431683,0.24833651040549867,0.2907177824542613,1
8,2500,ccmar,0.2558505160746848,cc,0.2660961782000653,0.012435150602443889,0.24172373087694374,0.29046862552318686,1
8,2500,ccmar,0.2558505160746848,cc_ccproj,0.2660961782000653,0.012435150602443889,0.24172373087694374,0.29046862552318686,1
8,2500,ccmar,0.2558505160746848,seq,0.2633940097037799,0.01236751533390676,0.2391541250710758,0.287633894336484,1
9,2500,ccmar,0.2558505160746848,full,0.2566361641365698,0.01016231500024839,0.2367183927365318,0.2765539355366078,1
9,2500,ccmar,0.2558505160746848,cc,0.24632991673817792,0.011450497468874514,0.2238873540941168,0.268772479382239,1
9,2500,ccmar,0.2558505160746848,cc_ccproj,0.24632991673817786,0.011450497468874514,0.22388735409411675,0.26877247938223897,1
9,2500,ccmar,0.2558505160746848,seq,0.24602624027874517,0.011268099980538644,0.22394117014269294,0.2681113104147974,1
10,2500,ccmar,0.2558505160746848,full,0.27516152252328185,0.008792882821471582,0.2579277888729166,0.2923952561736471,0
10,2500,ccmar,0.2558505160746848,cc,0.2802856787582403,0.011483584917068294,0.25777826590737907,0.3027930916091015,0
10,2500,ccmar,0.2558505160746848,cc_ccproj,0.2802856787582402,0.011483584917068301,0.2577782659073789,0.30279309160910145,0
10,2500,ccmar,0.2558505160746848,seq,0.27989880041410553,0.011377468053711932,0.25759937279357514,0.3021982280346359,0
11,2500,ccmar,0.2558505160746848,full,0.26339872127425207,0.009351188443432759,0.2450707287124767,0.28172671383602743,1
11,2500,ccmar,0.2558505160746848,cc,0.2647937349220777,0.011260479263204828,0.2427236011175361,0.2868638687266193,1
11,2500,ccmar,0.2558505160746848,cc_ccproj,0.2647937349220777,0.01126047926320483,0.2427236011175361,0.2868638687266193,1
11,2500,ccmar,0.2558505160746848,seq,0.26415114986831495,0.011023006412693659,0.2425464542980813,0.2857558454385486,1
12,2500,ccmar,0.2558505160746848,full,0.2476137008901231,0.01000925881539142,0.22799591410001588,0.2672314876802303,1
12,2500,ccmar,0.2558505160746848,cc,0.2545867445935677,0.013844438878322146,0.22745214300589023,0.2817213461812452,1
12,2500,ccmar,0.2558505160746848,cc_ccproj,0.2545867445935678,0.01384443887832215,0.22745214300589026,0.2817213461812453,1
12,2500,ccmar,0.2558505160746848,seq,0.25474536578501883,0.0136773788296381,0.22793819587601755,0.2815525356940201,1
13,2500,ccmar,0.2558505160746848,full,0.2625003829867383,0.009335823440992059,0.24420250527636905,0.2807982606971075,1
13,2500,ccmar,0.2558505160746848,cc,0.264959730186682,0.010531217125905275,0.24431892390653626,0.28560053646682776,1
13,2500,ccmar,0.2558505160746848,cc_ccproj,0.2649597301866821,0.010531217125905273,0.24431892390653637,0.28560053646682787,1
13,2500,ccmar,0.2558505160746848,seq,0.2630020362052592,0.010371750203578237,0.24267377934959988,0.2833302930609185,1
14,2500,ccmar,0.2558505160746848,full,0.2729896505961907,0.011292278496680175,0.2508571914393014,0.29512210975307995,1
14,2500,ccmar,0.2558505160746848,cc,0.2614918605035108,0.01287215047981581,0.23626290915949186,0.2867208118475298,1
14,2500,ccmar,0.2558505160746848,cc_ccproj,0.2614918605035107,0.012872150479815816,0.23626290915949172,0.2867208118475297,1
14,2500,ccmar,0.2558505160746848,seq,0.26292999043172666,0.012747749797769735,0.23794485994417022,0.2879151209192831,1
15,2500,ccmar,0.2558505160746848,full,0.25722414931581383,0.010128445264805845,0.23737276137740912,0.2770755372542185,1
15,2500,ccmar,0.2558505160746848,cc,0.25014310718864974,0.013825872201913439,0.2230448956180459,0.27724131875925356,1
15,2500,ccmar,0.2558505160746848,cc_ccproj,0.25014310718864974,0.013825872201913442,0.2230448956180459,0.27724131875925356,1
15,2500,ccmar,0.2558505160746848,seq,0.2528812722138432,0.01364374410014171,0.2261400251632846,0.2796225192644018,1
16,2500,ccmar,0.2558505160746848,full,0.2606100719106219,0.0099084583878689,0.24118985032808507,0.2800302934931588,1
16,2500,ccmar,0.2558505160746848,cc,0.2657430572245403,0.012212797984311132,0.24180641302482708,0.2896797014242535,1
16,2500,ccmar,0.2558505160746848,cc_ccproj,0.26574305722454034,0.012212797984311132,0.24180641302482714,0.28967970142425353,1
16,2500,ccmar,0.2558505160746848,seq,0.2628448581719016,0.01199030691732788,0.2393442884503575,0.28634542789344575,1
17,2500,ccmar,0.2558505160746848,full,0.2767542547877887,0.009297943598779767,0.2585306202038956,0.2949778893716818,0
17,2500,ccmar,0.2558505160746848,cc,0.2794145338187749,0.011110786112109501,0.25763779319911245,0.30119127443843735,0
17,2500,ccmar,0.2558505160746848,cc_ccproj,0.27941453381877496,0.011110786112109503,0.2576377931991125,0.3011912744384374,0
17,2500,ccmar,0.2558505160746848,seq,0.2780490243805357,0.010967502226083241,0.2565531150170497,0.2995449337440217,0
18,2500,ccmar,0.2558505160746848,full,0.24031880553294058,0.009446952448323283,0.22180311897056446,0.2588344920953167,1
18,2500,ccmar,0.2558505160746848,cc,0.23571918101094116,0.011304546402276372,0.21356267720091762,0.2578756848209647,1
18,2500,ccmar,0.2558505160746848,cc_ccproj,0.2357191810109412,0.011304546402276372,0.21356267720091765,0.25787568482096473,1
18,2500,ccmar,0.2558505160746848,seq,0.23316852775425542,0.011184683493962386,0.21124695092760953,0.2550901045809013,0
19,2500,ccmar,0.2558505160746848,full,0.2630556802882928,0.009153184505586207,0.24511576831349377,0.28099559226309184,1
19,2500,ccmar,0.2558505160746848,cc,0.26417336653532997,0.009953343982417,0.24466517080405417,0.28368156226660574,1
19,2500,ccmar,0.2558505160746848,cc_ccproj,0.26417336653532997,0.009953343982417002,0.24466517080405417,0.2836815622666058,1
19,2500,ccmar,0.2558505160746848,seq,0.26425943601688323,0.009716085174789117,0.245216259003573,0.28330261303019344,1
20,2500,ccmar,0.2558505160746848,full,0.24440328796923322,0.009853549212916899,0.2250906863920231,0.2637158895464433,1
20,2500,ccmar,0.2558505160746848,cc,0.23874668072965943,0.011726869861015905,0.21576243815068002,0.26173092330863884,1
20,2500,ccmar,0.2558505160746848,cc_ccproj,0.23874668072965938,0.011726869861015905,0.21576243815067997,0.2617309233086388,1
20,2500,ccmar,0.2558505160746848,seq,0.24010953364011867,0.011589140274921623,0.21739523608948966,0.26282383119074765,1
21,2500,ccmar,0.2558505160746848,full,0.26762337331721625,0.010018031125717967,0.24798839311480778,0.2872583535196247,1
21,2500,ccmar,0.2558505160746848,cc,0.2698620617235354,0.01077538185539521,0.2487427013672944,0.2909814220797764,1
21,2500,ccmar,0.2558505160746848,cc_ccproj,0.2698620617235354,0.010775381855395214,0.24874270136729437,0.2909814220797764,1
21,2500,ccmar,0.2558505160746848,seq,0.26956764562800783,0.01082893364838927,0.24834332568619094,0.29079196556982473,1
22,2500,ccmar,0.2558505160746848,full,0.25857019460814906,0.01027334635685933,0.238434805747999,0.2787055834682991,1
22,2500,ccmar,0.2558505160746848,cc,0.26657532723715804,0.014498259666230135,0.23815926045283728,0.29499139402147884,1
22,2500,ccmar,0.2558505160746848,cc_ccproj,0.26657532723715793,0.01449825966623014,0.23815926045283714,0.2949913940214787,1
22,2500,ccmar,0.2558505160746848,seq,0.26579727305849454,0.014507899098972462,0.23736231333316743,0.29423223278382166,1
23,2500,ccmar,0.2558505160746848,full,0.25502951278743347,0.011964466325543417,0.2315795896951261,0.27847943587974083,1
23,2500,ccmar,0.2558505160746848,cc,0.24979942252988113,0.01146928246822152,0.2273200419636503,0.27227880309611197,1
23,2500,ccmar,0.2558505160746848,cc_ccproj,0.24979942252988102,0.011469282468221525,0.2273200419636502,0.27227880309611185,1
23,2500,ccmar,0.2558505160746848,seq,0.24797377459241743,0.011400187138632436,0.22562981838368112,0.27031773080115373,1
24,2500,ccmar,0.2558505160746848,full,0.2648928334025892,0.010902060012855907,0.24352518842009732,0.28626047838508106,1
24,2500,ccmar,0.2558505160746848,cc,0.27087697832441543,0.012293259215161272,0.2467826330100842,0.2949713236387467,1
24,2500,ccmar,0.2558505160746848,cc_ccproj,0.2708769783244154,0.012293259215161277,0.24678263301008413,0.2949713236387466,1
24,2500,ccmar,0.2558505160746848,seq,0.26971433164099906,0.012145120582235623,0.24591033271192111,0.29351833057007704,1
25,2500,ccmar,0.2558505160746848,full,0.26117498236052494,0.009645578332643333,0.2422699962184841,0.2800799685025658,1
25,2500,ccmar,0.2558505160746848,cc,0.26934697538939617,0.010605265542192169,0.24856103688021586,0.2901329138985765,1
25,2500,ccmar,0.2558505160746848,cc_ccproj,0.2693469753893961,0.010605265542192176,0.2485610368802158,0.29013291389857643,1
25,2500,ccmar,0.2558505160746848,seq,0.26426355453182804,0.010635339082594043,0.24341867296657246,0.28510843609708364,1
26,2500,ccmar,0.2558505160746848,full,0.25810932376886486,0.015275900151471171,0.22816910964055143,0.2880495378971783,1
