replicate,n,scenario,psi,estimator,estimate,se,ci_lo,ci_hi,covered
1,2500,seqmar,0.2558505160746848,full,0.26096498642860877,0.01211605212511505,0.23721796062857328,0.28471201222864423,1
1,2500,seqmar,0.2558505160746848,cc,0.2757707378307221,0.03523109938708726,0.20671905189627987,0.3448224237651643,1
1,2500,seqmar,0.2558505160746848,cc_ccproj,0.2771235469374492,0.03523439946771703,0.2080653929638266,0.34618170091107187,1
1,2500,seqmar,0.2558505160746848,seq,0.28115877442688997,0.03328246301315185,0.2159263456043259,0.34639120324945405,1
2,2500,seqmar,0.2558505160746848,full,0.2455589022311911,0.009730357404811957,0.22648775216105702,0.26463005230132514,1
2,2500,seqmar,0.2558505160746848,cc,0.207615523885534,0.014743536381287807,0.17871872357345392,0.2365123241976141,0
2,2500,seqmar,0.2558505160746848,cc_ccproj,0.20725730124600983,0.014906451123976735,0.17804119390570883,0.23647340858631083,0
2,2500,seqmar,0.2558505160746848,seq,0.2384247948657241,0.020406282059275388,0.1984292169711785,0.2784203727602697,1
3,2500,seqmar,0.2558505160746848,full,0.26445172758217306,0.011387467110584573,0.2421327021702929,0.2867707529940532,1
3,2500,seqmar,0.2558505160746848,cc,0.2279115835783894,0.016212052431139577,0.1961365446978808,0.259686622458898,1
3,2500,seqmar,0.2558505160746848,cc_ccproj,0.22797934466209527,0.015891642503404475,0.19683229770023655,0.259126391623954,1
3,2500,seqmar,0.2558505160746848,seq,0.24483646886222774,0.01436957542791104,0.21667261855039036,0.2730003191740651,1
4,2500,seqmar,0.2558505160746848,full,0.2544905187421974,0.010362838390155497,0.2341797287198836,0.2748013087645112,1
4,2500,seqmar,0.2558505160746848,cc,0.24182935792172794,0.019601887994856262,0.2034103634228216,0.2802483524206343,1
4,2500,seqmar,0.2558505160746848,cc_ccproj,0.2430758028945359,0.019470244659195987,0.20491482459232843,0.2812367811967434,1
4,2500,seqmar,0.2558505160746848,seq,0.25399142044321826,0.016042087733614208,0.22254950624850264,0.2854333346379339,1
5,2500,seqmar,0.2558505160746848,full,0.2515236692795335,0.010119200805939083,0.23169040014756423,0.2713569384115028,1
5,2500,seqmar,0.2558505160746848,cc,0.2535353734724037,0.021559190846983035,0.21128013587649136,0.295790611068316,1
5,2500,seqmar,0.2558505160746848,cc_ccproj,0.25136000272662107,0.021432190013099213,0.20935368219112757,0.29336632326211454,1
5,2500,seqmar,0.2558505160746848,seq,0.2755022954625511,0.01675352452629518,0.2426659907769041,0.30833860014819814,1
6,2500,seqmar,0.2558505160746848,full,0.2587689701726189,0.009097083032995647,0.24093901506357704,0.27659892528166075,1
6,2500,seqmar,0.2558505160746848,cc,0.23893199049549793,0.018844128052838704,0.20199817819187318,0.2758658027991227,1
6,2500,seqmar,0.2558505160746848,cc_ccproj,0.23894691486003158,0.018711065564261702,0.20227390024171102,0.2756199294783521,1
6,2500,seqmar,0.2558505160746848,seq,0.25581472866662414,0.015255890619771223,0.2259137324997901,0.2857157248334582,1
7,2500,seqmar,0.2558505160746848,full,0.245291222568957,0.010466621324079798,0.22477702173394165,0.26580542340397234,1
7,2500,seqmar,0.2558505160746848,cc,0.23816676367986112,0.02151920522648265,0.195989896460029,0.2803436308996932,1
7,2500,seqmar,0.2558505160746848,cc_ccproj,0.23849962713254408,0.021521965182452033,0.1963173504984131,0.28068190376667507,1
7,2500,seqmar,0.2558505160746848,seq,0.2597190578927592,0.01562585161342615,0.22909295150267683,0.2903451642828415,1
8,2500,seqmar,0.2558505160746848,full,0.2473643207953704,0.01124966297957327,0.22531538651719324,0.2694132550735476,1
8,2500,seqmar,0.2558505160746848,cc,0.1963168355456018,0.023455013464100706,0.15034585389906238,0.24228781719214124,0
8,2500,seqmar,0.2558505160746848,cc_ccproj,0.19745531646377473,0.02302708114682174,0.15232306674692284,0.24258756618062663,0
8,2500,seqmar,0.2558505160746848,seq,0.23160896857587682,0.016194476865364734,0.19986837717129483,0.26334955998045884,1
9,2500,seqmar,0.2558505160746848,full,0.26121649505260497,0.010161060316481287,0.2413011827875625,0.2811318073176475,1
9,2500,seqmar,0.2558505160746848,cc,0.2509554913110043,0.025823468593653486,0.20034242291154228,0.30156855971046637,1
9,2500,seqmar,0.2558505160746848,cc_ccproj,0.24752233522324496,0.02576841355023434,0.19701717272605174,0.2980274977204382,1
9,2500,seqmar,0.2558505160746848,seq,0.2620086606380966,0.022504099667608583,0.21790143578508395,0.3061158854911092,1
10,2500,seqmar,0.2558505160746848,full,0.2618834009618814,0.011022234257089068,0.24028021878882322,0.2834865831349396,1
10,2500,seqmar,0.2558505160746848,cc,0.23202285440345732,0.021436044670843937,0.19000897887761145,0.27403672992930317,1
10,2500,seqmar,0.2558505160746848,cc_ccproj,0.23269259201816245,0.02132348340426971,0.19089933252085628,0.2744858515154686,1
10,2500,seqmar,0.2558505160746848,seq,0.25922528997442285,0.016165584108632024,0.22754132733245105,0.29090925261639466,1
11,2500,seqmar,0.2558505160746848,full,0.2588298135543952,0.010619966711743525,0.23801506128236363,0.27964456582642677,1
11,2500,seqmar,0.2558505160746848,cc,0.24675588659928693,0.029734863153746453,0.18847662573271678,0.3050351474658571,1
11,2500,seqmar,0.2558505160746848,cc_ccproj,0.24680226129226968,0.02978373998309235,0.18842720360050308,0.30517731898403627,1
11,2500,seqmar,0.2558505160746848,seq,0.2581418990386806,0.019520015900771327,0.21988337089551963,0.2964004271818416,1
12,2500,seqmar,0.2558505160746848,full,0.2530243186547275,0.008953773332149622,0.23547524539797907,0.27057339191147595,1
12,2500,seqmar,0.2558505160746848,cc,0.22061496650090112,0.012905025888919102,0.19532158053906268,0.24590835246273957,0
